,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-02-10,,1,0.0,-,0.0,0.0
1,2020-02-10,6.4,13,,▲,1.0,
2,2020-02-11,6.5,13,0.1,▲,2.0,1.6
3,2020-02-12,,2,,▲,3.0,
4,2020-02-12,6.8,18,,▲,4.0,
5,2020-02-13,6.4,25,-0.4,▼,3.0,-5.9
6,2020-02-14,7.0,27,0.6,▲,4.0,9.4
7,2020-02-15,7.4,14,0.4,▲,5.0,5.7
8,2020-02-16,,1,,▲,6.0,
9,2020-02-16,7.4,18,,▲,7.0,
10,2020-02-17,22.2,1,14.8,▲,8.0,200.0
11,2020-02-17,7.0,13,-15.2,▼,7.0,-68.5
12,2020-02-18,20.8,1,13.8,▲,8.0,197.1
13,2020-02-18,7.4,9,-13.4,▼,7.0,-64.4
14,2020-02-19,7.4,8,0.0,-,7.0,0.0
15,2020-02-20,7.2,31,-0.2,▼,6.0,-2.7
16,2020-02-21,6.9,4,-0.3,▼,5.0,-4.2
17,2020-02-22,7.4,13,0.5,▲,6.0,7.2
18,2020-02-23,7.3,15,-0.1,▼,5.0,-1.4
19,2020-02-24,18.0,1,10.7,▲,6.0,146.6
20,2020-02-24,7.3,25,-10.7,▼,5.0,-59.4
21,2020-02-25,19.6,1,12.3,▲,6.0,168.5
22,2020-02-25,7.2,11,-12.4,▼,5.0,-63.3
23,2020-02-26,18.6,1,11.4,▲,6.0,158.3
24,2020-02-26,7.1,7,-11.5,▼,5.0,-61.8
25,2020-02-27,6.7,14,-0.4,▼,4.0,-5.6
26,2020-02-28,16.6,1,9.9,▲,5.0,147.8
27,2020-02-28,6.6,12,-10.0,▼,4.0,-60.2
28,2020-02-29,6.8,14,0.2,▲,5.0,3.0
29,2020-03-01,20.0,1,13.2,▲,6.0,194.1
30,2020-03-01,7.0,7,-13.0,▼,5.0,-65.0
31,2020-03-02,7.2,5,0.2,▲,6.0,2.9
32,2020-03-03,7.2,18,0.0,-,6.0,0.0
33,2020-03-04,22.0,1,14.8,▲,7.0,205.6
34,2020-03-04,7.3,11,-14.7,▼,6.0,-66.8
35,2020-03-05,6.9,5,-0.4,▼,5.0,-5.5
36,2020-03-06,20.8,2,13.9,▲,6.0,201.4
37,2020-03-06,7.0,15,-13.8,▼,5.0,-66.3
38,2020-03-07,19.8,1,12.8,▲,6.0,182.9
39,2020-03-07,7.0,26,-12.8,▼,5.0,-64.6
40,2020-03-08,20.3,3,13.3,▲,6.0,190.0
41,2020-03-08,7.1,15,-13.2,▼,5.0,-65.0
42,2020-03-09,17.6,5,10.5,▲,6.0,147.9
43,2020-03-09,7.0,15,-10.6,▼,5.0,-60.2
44,2020-03-10,16.3,6,9.3,▲,6.0,132.9
45,2020-03-10,7.4,9,-8.9,▼,5.0,-54.6
46,2020-03-11,14.5,3,7.1,▲,6.0,95.9
47,2020-03-11,7.4,10,-7.1,▼,5.0,-49.0
48,2020-03-12,7.5,13,0.1,▲,6.0,1.4
49,2020-03-13,13.5,1,6.0,▲,7.0,80.0
50,2020-03-13,7.7,19,-5.8,▼,6.0,-43.0
51,2020-03-14,12.0,2,4.3,▲,7.0,55.8
52,2020-03-14,7.9,17,-4.1,▼,6.0,-34.2
53,2020-03-15,12.2,2,4.3,▲,7.0,54.4
