,datetime,avg_price,volume,day_before,yn_before,lank,day_percent
0,2020-03-24,20.5,4,0.0,-,0.0,0.0
1,2020-03-25,19.1,9,-1.4,▼,-1.0,-6.8
2,2020-03-26,17.2,3,-1.9,▼,-2.0,-9.9
3,2020-03-27,14.6,11,-2.6,▼,-3.0,-15.1
4,2020-03-28,12.8,10,-1.8,▼,-4.0,-12.3
5,2020-03-29,13.1,9,0.3,▲,-3.0,2.3
6,2020-03-30,13.2,9,0.1,▲,-2.0,0.8
7,2020-03-31,13.2,11,0.0,-,-2.0,0.0
8,2020-04-01,13.7,17,0.5,▲,-1.0,3.8
9,2020-04-02,15.5,12,1.8,▲,0.0,13.1
10,2020-04-03,15.3,10,-0.2,▼,-1.0,-1.3
11,2020-04-04,15.7,12,0.4,▲,0.0,2.6
12,2020-04-05,17.0,7,1.3,▲,1.0,8.3
13,2020-04-06,17.6,9,0.6,▲,2.0,3.5
14,2020-04-07,17.5,9,-0.1,▼,1.0,-0.6
15,2020-04-08,18.5,10,1.0,▲,2.0,5.7
16,2020-04-09,19.1,22,0.6,▲,3.0,3.2
17,2020-04-10,18.7,7,-0.4,▼,2.0,-2.1
18,2020-04-11,18.6,15,-0.1,▼,1.0,-0.5
19,2020-04-12,19.5,19,0.9,▲,2.0,4.8
20,2020-04-13,18.5,15,-1.0,▼,1.0,-5.1
21,2020-04-14,17.4,5,-1.1,▼,0.0,-5.9
22,2020-04-15,16.4,16,-1.0,▼,-1.0,-5.7
23,2020-04-16,15.5,11,-0.9,▼,-2.0,-5.5
24,2020-04-17,13.5,6,-2.0,▼,-3.0,-12.9
25,2020-04-18,12.8,15,-0.7,▼,-4.0,-5.2
26,2020-04-19,12.7,23,-0.1,▼,-5.0,-0.8
27,2020-04-20,13.5,16,0.8,▲,-4.0,6.3
28,2020-04-21,14.0,15,0.5,▲,-3.0,3.7
29,2020-04-22,14.6,9,0.6,▲,-2.0,4.3
30,2020-04-23,15.8,10,1.2,▲,-1.0,8.2
31,2020-04-24,15.9,12,0.1,▲,0.0,0.6
32,2020-04-25,16.4,7,0.5,▲,1.0,3.1
33,2020-04-26,16.8,12,0.4,▲,2.0,2.4
34,2020-04-27,17.2,14,0.4,▲,3.0,2.4
35,2020-04-28,17.5,8,0.3,▲,4.0,1.7
36,2020-04-29,18.5,6,1.0,▲,5.0,5.7
37,2020-04-30,18.9,18,0.4,▲,6.0,2.2
38,2020-05-01,20.0,13,1.1,▲,7.0,5.8
39,2020-05-02,21.4,18,1.4,▲,8.0,7.0
40,2020-05-03,22.4,9,1.0,▲,9.0,4.7
41,2020-05-04,23.4,12,1.0,▲,10.0,4.5
42,2020-05-05,24.2,13,0.8,▲,11.0,3.4
43,2020-05-06,24.7,10,0.5,▲,12.0,2.1
44,2020-05-07,24.7,11,0.0,-,12.0,0.0
45,2020-05-08,25.8,12,1.1,▲,13.0,4.5
46,2020-05-09,24.9,8,-0.9,▼,12.0,-3.5
47,2020-05-10,24.7,9,-0.2,▼,11.0,-0.8
48,2020-05-11,25.7,14,1.0,▲,12.0,4.0
49,2020-05-12,26.7,11,1.0,▲,13.0,3.9
50,2020-05-13,23.5,15,-3.2,▼,12.0,-12.0
51,2020-05-14,22.5,3,-1.0,▼,11.0,-4.3
52,2020-05-15,20.2,7,-2.3,▼,10.0,-10.2
53,2020-05-16,16.7,16,-3.5,▼,9.0,-17.3
54,2020-05-17,13.0,11,-3.7,▼,8.0,-22.2
55,2020-05-18,12.8,11,-0.2,▼,7.0,-1.5
56,2020-05-19,13.2,14,0.4,▲,8.0,3.1
57,2020-05-20,14.8,12,1.6,▲,9.0,12.1
58,2020-05-21,15.8,6,1.0,▲,10.0,6.8
59,2020-05-22,17.7,5,1.9,▲,11.0,12.0
60,2020-05-23,18.5,4,0.8,▲,12.0,4.5
61,2020-05-24,20.6,3,2.1,▲,13.0,11.4
62,2020-05-25,20.5,13,-0.1,▼,12.0,-0.5
63,2020-05-26,20.8,11,0.3,▲,13.0,1.5
64,2020-05-27,21.0,10,0.2,▲,14.0,1.0
65,2020-05-28,21.9,15,0.9,▲,15.0,4.3
66,2020-05-29,20.4,9,-1.5,▼,14.0,-6.8
67,2020-05-30,20.9,21,0.5,▲,15.0,2.5
68,2020-05-31,21.8,6,0.9,▲,16.0,4.3
69,2020-06-01,23.4,7,1.6,▲,17.0,7.3
70,2020-06-02,23.9,11,0.5,▲,18.0,2.1
71,2020-06-03,23.6,7,-0.3,▼,17.0,-1.3
72,2020-06-04,24.7,6,1.1,▲,18.0,4.7
73,2020-06-05,24.9,9,0.2,▲,19.0,0.8
74,2020-06-06,23.3,7,-1.6,▼,18.0,-6.4
75,2020-06-07,24.4,8,1.1,▲,19.0,4.7
76,2020-06-08,26.9,4,2.5,▲,20.0,10.2
77,2020-06-09,27.6,3,0.7,▲,21.0,2.6
78,2020-06-10,27.2,4,-0.4,▼,20.0,-1.4
79,2020-06-11,27.5,13,0.3,▲,21.0,1.1
80,2020-06-12,25.6,7,-1.9,▼,20.0,-6.9
81,2020-06-13,25.4,8,-0.2,▼,19.0,-0.8
82,2020-06-14,23.6,5,-1.8,▼,18.0,-7.1
83,2020-06-15,25.0,4,1.4,▲,19.0,5.9
84,2020-06-16,27.7,5,2.7,▲,20.0,10.8
85,2020-06-17,29.1,9,1.4,▲,21.0,5.1
86,2020-06-18,30.6,6,1.5,▲,22.0,5.2
87,2020-06-19,33.1,5,2.5,▲,23.0,8.2
88,2020-06-20,32.1,4,-1.0,▼,22.0,-3.0
