,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,name
6,2020-06-13,49.8,109,0.1,▲,-48.0,0.2,ivara_prime_set
23,2020-06-13,85.1,104,0.0,-,-45.0,0.0,nekros_prime_set
26,2020-06-13,51.2,30,-0.2,▼,-42.0,-0.4,baza_prime_set
19,2020-06-13,36.5,141,3.5,▲,-37.0,10.6,wukong_prime_set
46,2020-06-13,81.4,39,0.0,-,-36.0,0.0,aksomati_prime_set
72,2020-06-13,23.6,25,-0.5,▼,-29.0,-2.1,ninkondi_prime_set
25,2020-06-13,28.6,90,-1.7,▼,-28.0,-5.6,atlas_prime_set
3,2020-06-13,38.2,110,0.1,▲,-24.0,0.3,mesa_prime_set
22,2020-06-13,43.7,39,0.0,-,-22.0,0.0,oberon_prime_set
77,2020-06-13,30.1,27,0.5,▲,-22.0,1.7,silva_and_aegis_prime_set
