,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,name
0,69,2020-05-22,131.0,33,0.2,▲,42.0,0.2,kronen_prime_set
1,17,2020-05-22,118.1,53,-0.6,▼,39.0,-0.5,ash_prime_set
2,12,2020-05-22,123.4,41,-10.5,▼,38.0,-7.8,nova_prime_set
3,13,2020-05-22,149.0,77,0.2,▲,37.0,0.1,saryn_prime_set
4,18,2020-05-22,59.4,27,0.5,▲,36.0,0.8,zephyr_prime_set
5,20,2020-05-22,167.7,24,0.2,▲,35.0,0.1,vauban_prime_set
6,14,2020-05-22,71.9,56,0.5,▲,35.0,0.7,mirage_prime_set
7,4,2020-05-22,159.3,29,0.5,▲,31.0,0.3,ember_prime_set
8,9,2020-05-22,173.9,42,-0.4,▼,30.0,-0.2,frost_prime_set
9,15,2020-05-22,94.0,58,0.5,▲,29.0,0.5,valkyr_prime_set
