,index,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,name
138,138,2020-05-30,297.1,36,1.2,▲,28.0,0.4,loki_prime_set
138,138,2020-05-30,34.4,113,0.0,-,-16.0,0.0,equinox_prime_set
138,138,2020-05-30,160.5,62,0.4,▲,14.0,0.2,rhino_prime_set
138,138,2020-05-30,38.3,123,-0.1,▼,-23.0,-0.3,mesa_prime_set
138,138,2020-05-30,160.3,61,0.5,▲,32.0,0.3,ember_prime_set
138,138,2020-05-30,69.2,41,-0.1,▼,29.0,-0.1,limbo_prime_set
138,138,2020-05-30,53.1,119,-1.0,▼,-44.0,-1.8,ivara_prime_set
138,138,2020-05-30,36.2,123,0.1,▲,-12.0,0.3,chroma_prime_set
138,138,2020-05-30,92.6,29,-0.9,▼,14.0,-1.0,nyx_prime_set
138,138,2020-05-30,177.3,34,1.5,▲,32.0,0.9,frost_prime_set
138,138,2020-05-30,73.4,73,-0.8,▼,7.0,-1.1,trinity_prime_set
138,138,2020-05-30,93.0,46,-0.4,▼,7.0,-0.4,hydroid_prime_set
138,138,2020-05-30,91.5,102,-7.1,▼,32.0,-7.2,nova_prime_set
138,138,2020-05-30,148.5,101,0.3,▲,37.0,0.2,saryn_prime_set
138,138,2020-05-30,72.7,103,0.0,-,35.0,0.0,mirage_prime_set
138,138,2020-05-30,95.4,45,1.2,▲,30.0,1.3,valkyr_prime_set
138,138,2020-05-30,124.1,33,0.6,▲,15.0,0.5,mag_prime_set
138,138,2020-05-30,116.3,61,0.5,▲,39.0,0.4,ash_prime_set
138,138,2020-05-30,59.1,34,0.1,▲,35.0,0.2,zephyr_prime_set
138,138,2020-05-30,35.5,164,1.8,▲,-38.0,5.3,wukong_prime_set
138,138,2020-05-30,167.6,44,1.0,▲,37.0,0.6,vauban_prime_set
138,138,2020-05-30,85.6,42,-0.4,▼,13.0,-0.5,banshee_prime_set
138,138,2020-05-30,48.2,38,-1.0,▼,-17.0,-2.0,oberon_prime_set
138,138,2020-05-30,91.2,90,0.0,-,-34.0,0.0,nekros_prime_set
138,138,2020-05-30,194.4,46,1.7,▲,28.0,0.9,volt_prime_set
138,138,2020-05-30,29.8,60,0.2,▲,-25.0,0.7,atlas_prime_set
138,138,2020-05-30,51.5,43,-1.5,▼,-39.0,-2.8,baza_prime_set
138,138,2020-05-30,68.5,18,-0.6,▼,7.0,-0.9,boar_prime_set
138,138,2020-05-30,48.7,13,0.6,▲,-5.0,1.2,boltor_prime_set
138,138,2020-05-30,7.9,12,-0.1,▼,2.0,-1.2,braton_prime_set
138,138,2020-05-30,7.7,6,-0.3,▼,3.0,-3.8,burston_prime_set
138,138,2020-05-30,51.8,13,0.2,▲,13.0,0.4,cernos_prime_set
138,138,2020-05-30,57.7,12,2.5,▲,5.0,4.5,latron_prime_set
138,138,2020-05-30,10.0,18,-0.2,▼,-7.0,-2.0,paris_prime_set
138,138,2020-05-30,24.5,39,0.2,▲,8.0,0.8,rubico_prime_set
138,138,2020-05-30,70.9,24,-1.9,▼,5.0,-2.6,soma_prime_set
138,138,2020-05-30,14.0,15,0.2,▲,-9.0,1.4,stradavar_prime_set
138,138,2020-05-30,22.9,15,0.1,▲,-12.0,0.4,sybaris_prime_set
138,138,2020-05-30,39.0,14,0.0,-,12.0,0.0,tiberon_prime_set
138,138,2020-05-30,28.3,21,0.4,▲,-11.0,1.4,tigris_prime_set
138,138,2020-05-30,84.1,13,1.5,▲,8.0,1.8,vectis_prime_set
138,138,2020-05-30,24.4,23,0.1,▲,-8.0,0.4,zhuge_prime_set
138,138,2020-05-30,51.7,15,0.0,-,18.0,0.0,akbolto_prime_set
136,136,2020-05-30,13.2,4,-0.4,▼,0.0,-2.9,akbronco_prime_set
138,138,2020-05-30,34.5,28,-0.2,▼,-7.0,-0.6,akjagara_prime_set
137,137,2020-05-30,43.5,12,1.0,▲,3.0,2.4,aklex_prime_set
138,138,2020-05-30,82.9,28,-1.2,▼,-38.0,-1.4,aksomati_prime_set
138,138,2020-05-30,89.2,16,0.6,▲,11.0,0.7,akstiletto_prime_set
138,138,2020-05-30,123.5,29,4.5,▲,12.0,3.8,akvasto_prime_set
138,138,2020-05-30,36.0,12,0.3,▲,13.0,0.8,ballistica_prime_set
138,138,2020-05-30,11.5,18,-0.1,▼,-4.0,-0.9,bronco_prime_set
138,138,2020-05-30,67.8,10,-0.1,▼,16.0,-0.1,euphona_prime_set
138,138,2020-05-30,57.2,5,0.1,▲,0.0,0.2,hikou_prime_set
138,138,2020-05-30,8.4,29,0.0,-,-12.0,0.0,lex_prime_set
138,138,2020-05-30,31.5,31,0.7,▲,25.0,2.3,pyrana_prime_set
138,138,2020-05-30,63.8,9,2.4,▲,18.0,3.9,sicarus_prime_set
138,138,2020-05-30,105.2,9,2.7,▲,6.0,2.6,spira_prime_set
138,138,2020-05-30,49.9,24,-2.7,▼,-2.0,-5.1,vasto_prime_set
137,137,2020-05-30,80.2,5,0.6,▲,35.0,0.8,ankyros_prime_set
138,138,2020-05-30,114.9,14,-0.2,▼,11.0,-0.2,bo_prime_set
