,datetime,avg_price,volume,day_before,yn_before,lank,name
78,2020-04-11,70.5,24,-2.5,▼,-6.0,tekko_prime_set
59,2020-04-11,103.4,13,-2.5,▼,4.0,bo_prime_set
26,2020-04-11,65.6,49,-1.9,▼,-25.0,baza_prime_set
4,2020-04-11,146.2,56,-1.4,▼,17.0,ember_prime_set
77,2020-04-11,27.8,21,-1.0,▼,-21.0,silva_and_aegis_prime_set
63,2020-04-11,8.4,7,-1.0,▼,-11.0,fang_prime_set
25,2020-04-11,36.6,144,-0.9,▼,-16.0,atlas_prime_set
10,2020-04-11,113.1,80,-0.9,▼,13.0,trinity_prime_set
21,2020-04-11,80.1,60,-0.8,▼,4.0,banshee_prime_set
80,2020-04-11,116.9,19,-0.7,▼,14.0,venka_prime_set
