,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,name
79,2020-05-30,37.4,19,4.6,▲,-6.0,14.0,tipedo_prime_set
81,2020-05-30,34.4,60,1.9,▲,-19.0,5.8,shedu_set
106,2020-05-30,27.5,8,1.4,▲,-2.0,5.4,vaykor_marelok
19,2020-05-30,35.5,164,1.8,▲,-38.0,5.3,wukong_prime_set
32,2020-05-30,57.7,12,2.5,▲,5.0,4.5,latron_prime_set
109,2020-05-30,72.9,3,3.0,▲,1.0,4.3,mara_detron
55,2020-05-30,63.8,9,2.4,▲,18.0,3.9,sicarus_prime_set
102,2020-05-30,40.6,10,1.5,▲,3.0,3.8,supra_vandal
48,2020-05-30,123.5,29,4.5,▲,12.0,3.8,akvasto_prime_set
94,2020-05-30,29.7,17,1.1,▲,4.0,3.8,rakta_cernos
