,datetime,avg_price,volume,day_before,yn_before
0,2019-12-30,132.5,46,0.0,-
1,2019-12-31,130.0,45,-2.5,▼
2,2020-01-01,130.0,45,0.0,-
3,2020-01-02,130.0,59,0.0,-
4,2020-01-03,130.0,55,0.0,-
5,2020-01-04,131.5,65,1.5,▲
6,2020-01-05,132.5,48,1.0,▲
7,2020-01-06,137.5,36,5.0,▲
8,2020-01-07,132.5,37,-5.0,▼
9,2020-01-08,135.0,25,2.5,▲
10,2020-01-09,139.5,43,4.5,▲
11,2020-01-10,134.5,48,-5.0,▼
12,2020-01-11,137.0,40,2.5,▲
13,2020-01-12,128.5,34,-8.5,▼
14,2020-01-13,132.5,32,4.0,▲
15,2020-01-14,130.0,49,-2.5,▼
16,2020-01-15,136.5,24,6.5,▲
17,2020-01-16,137.5,21,1.0,▲
18,2020-01-17,140.0,46,2.5,▲
19,2020-01-18,139.0,21,-1.0,▼
20,2020-01-19,137.5,32,-1.5,▼
21,2020-01-20,140.0,25,2.5,▲
22,2020-01-21,140.0,49,0.0,-
23,2020-01-22,131.0,30,-9.0,▼
24,2020-01-23,142.5,22,11.5,▲
25,2020-01-24,142.5,26,0.0,-
26,2020-01-25,140.0,41,-2.5,▼
27,2020-01-26,140.0,29,0.0,-
28,2020-01-27,142.5,35,2.5,▲
29,2020-01-28,142.5,44,0.0,-
30,2020-01-29,147.0,16,4.5,▲
31,2020-01-30,144.5,37,-2.5,▼
32,2020-01-31,146.5,26,2.0,▲
33,2020-02-01,142.5,48,-4.0,▼
34,2020-02-02,140.0,40,-2.5,▼
35,2020-02-03,150.0,20,10.0,▲
36,2020-02-04,142.5,29,-7.5,▼
37,2020-02-05,139.0,35,-3.5,▼
38,2020-02-06,137.5,47,-1.5,▼
39,2020-02-07,140.0,31,2.5,▲
40,2020-02-08,142.5,48,2.5,▲
41,2020-02-09,145.0,45,2.5,▲
42,2020-02-10,147.5,34,2.5,▲
43,2020-02-11,146.5,23,-1.0,▼
44,2020-02-12,136.5,39,-10.0,▼
45,2020-02-13,142.5,21,6.0,▲
46,2020-02-14,127.5,45,-15.0,▼
47,2020-02-15,134.5,49,7.0,▲
48,2020-02-16,142.0,65,7.5,▲
49,2020-02-17,144.5,41,2.5,▲
50,2020-02-18,142.5,34,-2.0,▼
51,2020-02-19,140.0,42,-2.5,▼
52,2020-02-20,142.5,39,2.5,▲
53,2020-02-21,142.5,32,0.0,-
54,2020-02-22,140.5,48,-2.0,▼
55,2020-02-23,142.5,39,2.0,▲
56,2020-02-24,147.0,27,4.5,▲
57,2020-02-25,142.5,35,-4.5,▼
58,2020-02-26,149.0,37,6.5,▲
59,2020-02-27,142.5,24,-6.5,▼
60,2020-02-28,142.5,35,0.0,-
61,2020-02-29,142.5,53,0.0,-
62,2020-03-01,142.5,31,0.0,-
63,2020-03-02,149.5,15,7.0,▲
64,2020-03-03,149.0,26,-0.5,▼
65,2020-03-04,145.0,27,-4.0,▼
66,2020-03-05,147.0,27,2.0,▲
67,2020-03-06,145.0,46,-2.0,▼
68,2020-03-07,148.5,36,3.5,▲
69,2020-03-08,148.5,49,0.0,-
70,2020-03-09,145.0,43,-3.5,▼
71,2020-03-10,149.0,19,4.0,▲
72,2020-03-11,149.0,26,0.0,-
73,2020-03-12,149.5,31,0.5,▲
74,2020-03-13,150.0,59,0.5,▲
75,2020-03-14,145.0,59,-5.0,▼
76,2020-03-15,149.5,41,4.5,▲
77,2020-03-16,149.0,27,-0.5,▼
78,2020-03-17,148.5,44,-0.5,▼
79,2020-03-18,148.0,43,-0.5,▼
80,2020-03-19,149.0,32,1.0,▲
81,2020-03-20,150.0,45,1.0,▲
82,2020-03-21,147.0,49,-3.0,▼
83,2020-03-22,147.5,49,0.5,▲
84,2020-03-23,148.5,38,1.0,▲
85,2020-03-24,151.0,24,2.5,▲
86,2020-03-25,149.5,34,-1.5,▼
87,2020-03-26,149.5,53,0.0,-
88,2020-03-27,150.0,32,0.5,▲
89,2020-03-28,145.0,41,-5.0,▼
90,2020-03-29,145.0,60,0.0,-
91,2020-03-30,147.0,40,2.0,▲
92,2020-03-31,143.5,56,-3.5,▼
93,2020-04-01,144.5,61,1.0,▲
94,2020-04-02,149.0,38,4.5,▲
95,2020-04-03,148.5,37,-0.5,▼
96,2020-04-04,148.5,47,0.0,-
