,datetime,avg_price,volume
0,2019-12-30,147.0,28
1,2019-12-31,146.0,35
2,2020-01-01,145.0,28
3,2020-01-02,149.0,26
4,2020-01-03,148.5,42
5,2020-01-04,145.5,43
6,2020-01-05,147.5,46
7,2020-01-06,150.0,43
8,2020-01-07,150.0,41
9,2020-01-08,150.0,36
10,2020-01-09,149.0,19
11,2020-01-10,149.5,22
12,2020-01-11,149.5,36
13,2020-01-12,147.0,32
14,2020-01-13,155.0,25
15,2020-01-14,150.5,30
16,2020-01-15,152.5,45
17,2020-01-16,157.5,21
18,2020-01-17,152.5,32
19,2020-01-18,149.0,22
20,2020-01-19,152.5,34
21,2020-01-20,160.0,37
22,2020-01-21,150.0,21
23,2020-01-22,152.5,35
24,2020-01-23,150.0,23
25,2020-01-24,154.5,22
26,2020-01-25,148.0,31
27,2020-01-26,155.0,25
28,2020-01-27,160.0,20
29,2020-01-28,158.5,33
30,2020-01-29,160.0,37
31,2020-01-30,162.5,18
32,2020-01-31,167.5,25
33,2020-02-01,160.0,48
34,2020-02-02,160.0,27
35,2020-02-03,165.0,32
36,2020-02-04,155.0,34
37,2020-02-05,160.0,34
38,2020-02-06,152.5,30
39,2020-02-07,152.5,38
40,2020-02-08,157.5,38
41,2020-02-09,162.5,42
42,2020-02-10,155.0,28
43,2020-02-11,160.0,22
44,2020-02-12,160.0,25
45,2020-02-13,160.0,32
46,2020-02-14,150.0,22
47,2020-02-15,150.0,37
48,2020-02-16,152.5,36
49,2020-02-17,152.5,38
50,2020-02-18,157.0,28
51,2020-02-19,160.0,30
52,2020-02-20,160.0,26
53,2020-02-21,160.0,25
54,2020-02-22,159.0,21
55,2020-02-23,160.0,28
56,2020-02-24,167.0,30
57,2020-02-25,163.0,30
58,2020-02-26,164.5,26
59,2020-02-27,164.0,27
60,2020-02-28,164.5,31
61,2020-02-29,167.5,12
62,2020-03-01,162.5,36
63,2020-03-02,169.5,23
64,2020-03-03,169.0,21
65,2020-03-04,169.0,16
66,2020-03-05,169.0,37
67,2020-03-06,170.0,30
68,2020-03-07,170.0,63
69,2020-03-08,170.0,32
70,2020-03-09,172.5,26
71,2020-03-10,172.5,28
72,2020-03-11,170.0,34
73,2020-03-12,170.0,43
74,2020-03-13,170.0,27
75,2020-03-14,167.5,32
76,2020-03-15,170.0,37
77,2020-03-16,174.0,27
78,2020-03-17,170.0,34
79,2020-03-18,165.0,36
80,2020-03-19,169.0,21
81,2020-03-20,169.0,39
82,2020-03-21,165.0,32
83,2020-03-22,164.5,41
84,2020-03-23,165.0,26
85,2020-03-24,166.5,31
86,2020-03-25,163.0,35
87,2020-03-26,169.5,38
88,2020-03-27,167.5,32
