,datetime,avg_price,volume
0,2019-12-30,157.0,235
1,2019-12-31,154.0,219
2,2020-01-01,148.0,216
3,2020-01-02,151.0,210
4,2020-01-03,137.5,270
5,2020-01-04,139.0,243
6,2020-01-05,135.0,224
7,2020-01-06,135.5,201
8,2020-01-07,133.0,166
9,2020-01-08,132.0,206
10,2020-01-09,125.0,187
11,2020-01-10,129.5,166
12,2020-01-11,122.5,216
13,2020-01-12,120.5,158
14,2020-01-13,120.5,130
15,2020-01-14,115.0,148
16,2020-01-15,115.0,129
17,2020-01-16,115.0,123
18,2020-01-17,110.0,154
19,2020-01-18,120.0,136
20,2020-01-19,130.5,156
21,2020-01-20,130.0,143
22,2020-01-21,130.0,122
23,2020-01-22,119.5,130
24,2020-01-23,119.5,127
25,2020-01-24,120.0,138
26,2020-01-25,120.0,131
27,2020-01-26,118.5,119
28,2020-01-27,120.5,105
29,2020-01-28,115.0,113
30,2020-01-29,110.0,110
31,2020-01-30,108.0,135
32,2020-01-31,107.0,131
33,2020-02-01,110.0,178
34,2020-02-02,108.0,126
35,2020-02-03,106.0,150
36,2020-02-04,107.5,130
37,2020-02-05,109.5,179
38,2020-02-06,119.0,153
39,2020-02-07,120.0,151
40,2020-02-08,118.5,141
41,2020-02-09,120.0,134
42,2020-02-10,117.5,115
43,2020-02-11,116.0,88
44,2020-02-12,116.0,121
45,2020-02-13,117.0,92
46,2020-02-14,115.0,128
47,2020-02-15,114.0,234
48,2020-02-16,119.0,189
49,2020-02-17,117.0,127
50,2020-02-18,117.5,120
51,2020-02-19,115.0,102
52,2020-02-20,115.0,93
53,2020-02-21,109.5,119
54,2020-02-22,109.5,130
55,2020-02-23,109.0,138
56,2020-02-24,105.0,99
57,2020-02-25,99.0,71
58,2020-02-26,99.0,77
59,2020-02-27,97.5,85
60,2020-02-28,93.5,97
61,2020-02-29,91.5,142
62,2020-03-01,90.0,169
63,2020-03-02,90.0,105
64,2020-03-03,92.5,105
65,2020-03-04,92.5,101
66,2020-03-05,94.5,90
67,2020-03-06,100.0,150
68,2020-03-07,112.0,230
69,2020-03-08,120.5,227
70,2020-03-09,111.0,162
71,2020-03-10,106.0,152
72,2020-03-11,105.0,133
73,2020-03-12,100.0,114
74,2020-03-13,96.5,152
75,2020-03-14,101.0,149
76,2020-03-15,96.0,175
77,2020-03-16,95.0,152
78,2020-03-17,95.0,167
79,2020-03-18,93.5,182
80,2020-03-19,96.0,176
81,2020-03-20,96.0,181
82,2020-03-21,96.0,167
83,2020-03-22,95.0,183
84,2020-03-23,90.0,166
85,2020-03-24,90.0,152
86,2020-03-25,89.5,182
87,2020-03-26,95.0,177
88,2020-03-27,90.0,190
