,datetime,avg_price,volume
0,2019-12-30,99.5,20
1,2019-12-31,100.0,25
2,2020-01-01,100.0,36
3,2020-01-02,97.5,24
4,2020-01-03,99.5,29
5,2020-01-04,100.0,45
6,2020-01-05,97.5,44
7,2020-01-06,99.5,25
8,2020-01-07,100.0,27
9,2020-01-08,102.5,35
10,2020-01-09,99.5,25
11,2020-01-10,100.0,25
12,2020-01-11,99.0,26
13,2020-01-12,99.5,33
14,2020-01-13,99.5,18
15,2020-01-14,100.0,33
16,2020-01-15,102.5,35
17,2020-01-16,100.0,30
18,2020-01-17,105.0,22
19,2020-01-18,105.5,38
20,2020-01-19,105.0,37
21,2020-01-20,107.5,26
22,2020-01-21,105.0,15
23,2020-01-22,104.5,40
24,2020-01-23,109.5,27
25,2020-01-24,110.0,37
26,2020-01-25,110.0,35
27,2020-01-26,110.0,29
28,2020-01-27,114.5,23
29,2020-01-28,110.0,42
30,2020-01-29,112.5,29
31,2020-01-30,112.5,25
32,2020-01-31,110.0,25
33,2020-02-01,117.0,29
34,2020-02-02,112.5,33
35,2020-02-03,109.5,40
36,2020-02-04,110.0,26
37,2020-02-05,110.0,30
38,2020-02-06,112.5,23
39,2020-02-07,112.5,28
40,2020-02-08,108.5,23
41,2020-02-09,109.0,28
42,2020-02-10,110.0,24
43,2020-02-11,110.0,18
44,2020-02-12,117.5,26
45,2020-02-13,122.5,20
46,2020-02-14,109.5,20
47,2020-02-15,99.5,49
48,2020-02-16,102.0,44
49,2020-02-17,112.0,30
50,2020-02-18,107.5,33
51,2020-02-19,114.0,17
52,2020-02-20,107.5,22
53,2020-02-21,109.5,29
54,2020-02-22,105.0,40
55,2020-02-23,110.0,16
56,2020-02-24,110.0,27
57,2020-02-25,115.0,21
58,2020-02-26,112.5,17
59,2020-02-27,112.5,27
60,2020-02-28,110.0,24
61,2020-02-29,115.0,34
62,2020-03-01,108.0,27
63,2020-03-02,114.5,25
64,2020-03-03,107.5,20
65,2020-03-04,119.5,19
66,2020-03-05,120.0,19
67,2020-03-06,192.5,50
68,2020-03-07,120.0,54
69,2020-03-08,121.5,52
70,2020-03-09,120.0,29
71,2020-03-10,119.5,37
72,2020-03-11,119.0,33
73,2020-03-12,120.0,37
74,2020-03-13,120.0,48
75,2020-03-14,120.0,45
76,2020-03-15,115.0,43
77,2020-03-16,121.0,34
78,2020-03-17,119.5,43
79,2020-03-18,120.0,41
80,2020-03-19,117.5,37
81,2020-03-20,117.0,45
82,2020-03-21,120.0,44
83,2020-03-22,120.0,50
84,2020-03-23,119.0,34
85,2020-03-24,121.5,35
86,2020-03-25,120.0,21
87,2020-03-26,120.0,43
88,2020-03-27,120.0,37
