,datetime,avg_price,volume,day_before,yn_before
0,2019-12-30,39.0,37,0.0,-
1,2019-12-31,40.0,70,1.0,▲
2,2020-01-01,39.0,56,-1.0,▼
3,2020-01-02,44.0,44,5.0,▲
4,2020-01-03,40.0,66,-4.0,▼
5,2020-01-04,42.5,60,2.5,▲
6,2020-01-05,40.0,81,-2.5,▼
7,2020-01-06,41.0,47,1.0,▲
8,2020-01-07,39.5,32,-1.5,▼
9,2020-01-08,47.5,47,8.0,▲
10,2020-01-09,48.5,56,1.0,▲
11,2020-01-10,45.0,51,-3.5,▼
12,2020-01-11,45.0,56,0.0,-
13,2020-01-12,42.5,58,-2.5,▼
14,2020-01-13,49.5,57,7.0,▲
15,2020-01-14,50.0,51,0.5,▲
16,2020-01-15,46.0,57,-4.0,▼
17,2020-01-16,57.0,36,11.0,▲
18,2020-01-17,51.0,47,-6.0,▼
19,2020-01-18,49.5,62,-1.5,▼
20,2020-01-19,50.0,51,0.5,▲
21,2020-01-20,60.0,26,10.0,▲
22,2020-01-21,57.0,34,-3.0,▼
23,2020-01-22,54.5,47,-2.5,▼
24,2020-01-23,59.5,43,5.0,▲
25,2020-01-24,59.0,40,-0.5,▼
26,2020-01-25,54.0,61,-5.0,▼
27,2020-01-26,60.0,44,6.0,▲
28,2020-01-27,57.0,43,-3.0,▼
29,2020-01-28,58.5,42,1.5,▲
30,2020-01-29,63.0,25,4.5,▲
31,2020-01-30,57.5,34,-5.5,▼
32,2020-01-31,59.5,43,2.0,▲
33,2020-02-01,59.0,56,-0.5,▼
34,2020-02-02,60.0,57,1.0,▲
35,2020-02-03,59.5,51,-0.5,▼
36,2020-02-04,59.5,40,0.0,-
37,2020-02-05,55.5,36,-4.0,▼
38,2020-02-06,60.0,55,4.5,▲
39,2020-02-07,60.0,51,0.0,-
40,2020-02-08,59.5,52,-0.5,▼
41,2020-02-09,60.0,59,0.5,▲
42,2020-02-10,62.0,57,2.0,▲
43,2020-02-11,62.5,53,0.5,▲
44,2020-02-12,58.0,52,-4.5,▼
45,2020-02-13,65.0,59,7.0,▲
46,2020-02-14,60.0,66,-5.0,▼
47,2020-02-15,51.0,60,-9.0,▼
48,2020-02-16,50.0,90,-1.0,▼
49,2020-02-17,59.5,69,9.5,▲
50,2020-02-18,60.0,67,0.5,▲
51,2020-02-19,65.0,46,5.0,▲
52,2020-02-20,58.5,57,-6.5,▼
53,2020-02-21,61.5,51,3.0,▲
54,2020-02-22,60.0,82,-1.5,▼
55,2020-02-23,59.0,50,-1.0,▼
56,2020-02-24,64.5,55,5.5,▲
57,2020-02-25,65.0,46,0.5,▲
58,2020-02-26,64.0,45,-1.0,▼
59,2020-02-27,67.5,40,3.5,▲
60,2020-02-28,67.5,47,0.0,-
61,2020-02-29,65.0,62,-2.5,▼
62,2020-03-01,65.0,56,0.0,-
63,2020-03-02,67.5,44,2.5,▲
64,2020-03-03,69.0,53,1.5,▲
65,2020-03-04,70.0,48,1.0,▲
66,2020-03-05,70.0,34,0.0,-
67,2020-03-06,70.0,45,0.0,-
68,2020-03-07,67.5,82,-2.5,▼
69,2020-03-08,70.0,83,2.5,▲
70,2020-03-09,70.0,55,0.0,-
71,2020-03-10,67.5,65,-2.5,▼
72,2020-03-11,70.0,79,2.5,▲
73,2020-03-12,69.0,67,-1.0,▼
74,2020-03-13,70.0,64,1.0,▲
75,2020-03-14,70.0,64,0.0,-
76,2020-03-15,69.5,54,-0.5,▼
77,2020-03-16,67.5,56,-2.0,▼
78,2020-03-17,67.5,64,0.0,-
79,2020-03-18,70.0,65,2.5,▲
80,2020-03-19,69.0,84,-1.0,▼
81,2020-03-20,70.0,75,1.0,▲
82,2020-03-21,69.0,73,-1.0,▼
83,2020-03-22,70.0,74,1.0,▲
84,2020-03-23,70.0,83,0.0,-
85,2020-03-24,70.0,65,0.0,-
86,2020-03-25,67.5,93,-2.5,▼
87,2020-03-26,69.0,42,1.5,▲
88,2020-03-27,64.5,77,-4.5,▼
89,2020-03-28,66.5,103,2.0,▲
90,2020-03-29,65.0,105,-1.5,▼
91,2020-03-30,65.0,70,0.0,-
92,2020-03-31,60.5,75,-4.5,▼
93,2020-04-01,67.5,81,7.0,▲
94,2020-04-02,68.0,56,0.5,▲
95,2020-04-03,67.5,72,-0.5,▼
96,2020-04-04,65.0,95,-2.5,▼
