,datetime,avg_price,volume
0,2019-12-30,63.0,33
1,2019-12-31,72.5,33
2,2020-01-01,70.5,45
3,2020-01-02,71.5,31
4,2020-01-03,69.0,18
5,2020-01-04,70.0,32
6,2020-01-05,72.5,28
7,2020-01-06,69.0,26
8,2020-01-07,70.0,35
9,2020-01-08,77.5,32
10,2020-01-09,82.0,26
11,2020-01-10,77.0,24
12,2020-01-11,72.5,43
13,2020-01-12,75.0,45
14,2020-01-13,77.5,18
15,2020-01-14,90.0,27
16,2020-01-15,80.0,23
17,2020-01-16,77.5,22
18,2020-01-17,72.5,28
19,2020-01-18,79.5,22
20,2020-01-19,80.0,33
21,2020-01-20,79.5,18
22,2020-01-21,80.0,22
23,2020-01-22,87.5,33
24,2020-01-23,82.5,26
25,2020-01-24,85.0,18
26,2020-01-25,87.5,30
27,2020-01-26,85.0,25
28,2020-01-27,84.5,16
29,2020-01-28,84.5,23
30,2020-01-29,91.0,10
31,2020-01-30,95.0,22
32,2020-01-31,79.5,17
33,2020-02-01,83.5,24
34,2020-02-02,89.5,25
35,2020-02-03,89.5,16
36,2020-02-04,90.0,19
37,2020-02-05,92.5,14
38,2020-02-06,90.0,9
39,2020-02-07,90.0,24
40,2020-02-08,85.0,26
41,2020-02-09,84.0,19
42,2020-02-10,85.0,20
43,2020-02-11,75.0,24
44,2020-02-12,87.5,16
45,2020-02-13,81.5,26
46,2020-02-14,80.0,32
47,2020-02-15,79.5,33
48,2020-02-16,80.0,45
49,2020-02-17,80.0,27
50,2020-02-18,85.0,34
51,2020-02-19,82.0,17
52,2020-02-20,82.5,25
53,2020-02-21,82.5,24
54,2020-02-22,82.0,47
55,2020-02-23,84.5,31
56,2020-02-24,82.5,26
57,2020-02-25,85.0,32
58,2020-02-26,82.5,31
59,2020-02-27,85.0,20
60,2020-02-28,83.5,34
61,2020-02-29,86.0,27
62,2020-03-01,87.5,18
63,2020-03-02,89.0,13
64,2020-03-03,89.0,11
65,2020-03-04,89.0,41
66,2020-03-05,91.0,11
67,2020-03-06,84.5,33
68,2020-03-07,89.0,35
69,2020-03-08,85.0,39
70,2020-03-09,87.5,20
71,2020-03-10,90.0,32
72,2020-03-11,88.5,29
73,2020-03-12,90.0,29
74,2020-03-13,90.0,29
75,2020-03-14,85.0,32
76,2020-03-15,85.0,42
77,2020-03-16,87.0,22
78,2020-03-17,87.5,27
79,2020-03-18,88.5,22
80,2020-03-19,88.0,26
81,2020-03-20,82.5,44
82,2020-03-21,90.0,28
83,2020-03-22,87.0,42
84,2020-03-23,86.0,30
85,2020-03-24,85.0,32
86,2020-03-25,87.5,31
87,2020-03-26,90.0,20
88,2020-03-27,80.0,24
