,datetime,avg_price,volume,day_before,yn_before
0,2019-12-30,87.0,27,0.0,-
1,2019-12-31,90.0,43,3.0,▲
2,2020-01-01,90.0,36,0.0,-
3,2020-01-02,84.5,32,-5.5,▼
4,2020-01-03,90.0,22,5.5,▲
5,2020-01-04,86.5,41,-3.5,▼
6,2020-01-05,87.0,40,0.5,▲
7,2020-01-06,90.0,30,3.0,▲
8,2020-01-07,92.5,32,2.5,▲
9,2020-01-08,92.5,25,0.0,-
10,2020-01-09,90.0,37,-2.5,▼
11,2020-01-10,90.0,35,0.0,-
12,2020-01-11,92.5,26,2.5,▲
13,2020-01-12,90.5,50,-2.0,▼
14,2020-01-13,96.5,25,6.0,▲
15,2020-01-14,98.5,23,2.0,▲
16,2020-01-15,99.0,38,0.5,▲
17,2020-01-16,92.5,26,-6.5,▼
18,2020-01-17,95.0,16,2.5,▲
19,2020-01-18,97.0,31,2.0,▲
20,2020-01-19,99.0,28,2.0,▲
21,2020-01-20,99.5,15,0.5,▲
22,2020-01-21,99.0,28,-0.5,▼
23,2020-01-22,99.0,16,0.0,-
24,2020-01-23,101.5,27,2.5,▲
25,2020-01-24,105.0,30,3.5,▲
26,2020-01-25,98.0,29,-7.0,▼
27,2020-01-26,100.0,42,2.0,▲
28,2020-01-27,100.0,34,0.0,-
29,2020-01-28,103.0,23,3.0,▲
30,2020-01-29,108.5,26,5.5,▲
31,2020-01-30,100.0,19,-8.5,▼
32,2020-01-31,104.5,18,4.5,▲
33,2020-02-01,99.5,18,-5.0,▼
34,2020-02-02,100.0,54,0.5,▲
35,2020-02-03,107.0,23,7.0,▲
36,2020-02-04,99.0,36,-8.0,▼
37,2020-02-05,72.5,33,-26.5,▼
38,2020-02-06,67.5,18,-5.0,▼
39,2020-02-07,75.0,25,7.5,▲
40,2020-02-08,75.0,22,0.0,-
41,2020-02-09,75.0,21,0.0,-
42,2020-02-10,75.0,14,0.0,-
43,2020-02-11,70.0,21,-5.0,▼
44,2020-02-12,70.0,42,0.0,-
45,2020-02-13,69.5,28,-0.5,▼
46,2020-02-14,77.0,40,7.5,▲
47,2020-02-15,67.5,63,-9.5,▼
48,2020-02-16,73.0,49,5.5,▲
49,2020-02-17,76.0,30,3.0,▲
50,2020-02-18,75.5,35,-0.5,▼
51,2020-02-19,70.0,40,-5.5,▼
52,2020-02-20,70.0,32,0.0,-
53,2020-02-21,68.5,33,-1.5,▼
54,2020-02-22,70.5,33,2.0,▲
55,2020-02-23,72.5,41,2.0,▲
56,2020-02-24,70.0,46,-2.5,▼
57,2020-02-25,70.0,35,0.0,-
58,2020-02-26,70.0,29,0.0,-
59,2020-02-27,65.0,39,-5.0,▼
60,2020-02-28,64.0,34,-1.0,▼
61,2020-02-29,59.0,54,-5.0,▼
62,2020-03-01,62.5,37,3.5,▲
63,2020-03-02,62.5,21,0.0,-
64,2020-03-03,59.0,21,-3.5,▼
65,2020-03-04,64.0,37,5.0,▲
66,2020-03-05,60.0,33,-4.0,▼
67,2020-03-06,62.5,39,2.5,▲
68,2020-03-07,59.5,48,-3.0,▼
69,2020-03-08,59.5,68,0.0,-
70,2020-03-09,62.0,51,2.5,▲
71,2020-03-10,60.0,44,-2.0,▼
72,2020-03-11,59.5,47,-0.5,▼
73,2020-03-12,58.5,50,-1.0,▼
74,2020-03-13,55.0,58,-3.5,▼
75,2020-03-14,52.5,51,-2.5,▼
76,2020-03-15,57.5,53,5.0,▲
77,2020-03-16,55.0,41,-2.5,▼
78,2020-03-17,51.5,43,-3.5,▼
79,2020-03-18,50.0,45,-1.5,▼
80,2020-03-19,49.5,51,-0.5,▼
81,2020-03-20,50.0,55,0.5,▲
82,2020-03-21,50.0,53,0.0,-
83,2020-03-22,50.0,35,0.0,-
84,2020-03-23,47.0,38,-3.0,▼
85,2020-03-24,47.5,43,0.5,▲
86,2020-03-25,48.0,37,0.5,▲
87,2020-03-26,50.5,26,2.5,▲
88,2020-03-27,47.5,36,-3.0,▼
89,2020-03-28,48.5,44,1.0,▲
90,2020-03-29,46.5,34,-2.0,▼
91,2020-03-30,49.0,22,2.5,▲
92,2020-03-31,48.5,30,-0.5,▼
93,2020-04-01,44.5,50,-4.0,▼
94,2020-04-02,45.0,55,0.5,▲
95,2020-04-03,46.5,45,1.5,▲
96,2020-04-04,45.0,54,-1.5,▼
