,datetime,avg_price,volume,day_before,yn_before
0,2019-12-30,90.5,43,0.0,-
1,2019-12-31,95.0,37,4.5,▲
2,2020-01-01,99.0,40,4.0,▲
3,2020-01-02,99.0,45,0.0,-
4,2020-01-03,98.5,26,-0.5,▼
5,2020-01-04,96.5,50,-2.0,▼
6,2020-01-05,97.0,65,0.5,▲
7,2020-01-06,99.5,26,2.5,▲
8,2020-01-07,97.5,49,-2.0,▼
9,2020-01-08,99.0,39,1.5,▲
10,2020-01-09,100.0,32,1.0,▲
11,2020-01-10,100.0,56,0.0,-
12,2020-01-11,98.5,36,-1.5,▼
13,2020-01-12,95.0,73,-3.5,▼
14,2020-01-13,99.0,31,4.0,▲
15,2020-01-14,98.5,41,-0.5,▼
16,2020-01-15,100.0,50,1.5,▲
17,2020-01-16,100.0,41,0.0,-
18,2020-01-17,100.0,40,0.0,-
19,2020-01-18,100.0,50,0.0,-
20,2020-01-19,100.0,66,0.0,-
21,2020-01-20,101.0,34,1.0,▲
22,2020-01-21,106.5,49,5.5,▲
23,2020-01-22,100.0,33,-6.5,▼
24,2020-01-23,104.5,45,4.5,▲
25,2020-01-24,107.5,39,3.0,▲
26,2020-01-25,100.0,32,-7.5,▼
27,2020-01-26,100.0,48,0.0,-
28,2020-01-27,107.5,43,7.5,▲
29,2020-01-28,100.0,39,-7.5,▼
30,2020-01-29,102.5,28,2.5,▲
31,2020-01-30,105.0,32,2.5,▲
32,2020-01-31,106.5,38,1.5,▲
33,2020-02-01,109.5,47,3.0,▲
34,2020-02-02,107.0,42,-2.5,▼
35,2020-02-03,111.5,49,4.5,▲
36,2020-02-04,110.0,54,-1.5,▼
37,2020-02-05,105.0,31,-5.0,▼
38,2020-02-06,106.5,33,1.5,▲
39,2020-02-07,109.5,33,3.0,▲
40,2020-02-08,112.0,60,2.5,▲
41,2020-02-09,108.5,59,-3.5,▼
42,2020-02-10,115.0,39,6.5,▲
43,2020-02-11,117.0,44,2.0,▲
44,2020-02-12,117.5,45,0.5,▲
45,2020-02-13,117.0,39,-0.5,▼
46,2020-02-14,112.0,38,-5.0,▼
47,2020-02-15,102.0,59,-10.0,▼
48,2020-02-16,107.5,66,5.5,▲
49,2020-02-17,113.5,44,6.0,▲
50,2020-02-18,119.0,36,5.5,▲
51,2020-02-19,115.0,37,-4.0,▼
52,2020-02-20,115.0,35,0.0,-
53,2020-02-21,120.5,30,5.5,▲
54,2020-02-22,112.5,51,-8.0,▼
55,2020-02-23,109.0,40,-3.5,▼
56,2020-02-24,117.5,57,8.5,▲
57,2020-02-25,120.0,43,2.5,▲
58,2020-02-26,117.0,39,-3.0,▼
59,2020-02-27,119.5,33,2.5,▲
60,2020-02-28,120.0,36,0.5,▲
61,2020-02-29,120.5,25,0.5,▲
62,2020-03-01,120.0,57,-0.5,▼
63,2020-03-02,120.0,60,0.0,-
64,2020-03-03,115.0,46,-5.0,▼
65,2020-03-04,122.5,35,7.5,▲
66,2020-03-05,117.5,65,-5.0,▼
67,2020-03-06,120.0,65,2.5,▲
68,2020-03-07,117.5,89,-2.5,▼
69,2020-03-08,120.0,74,2.5,▲
70,2020-03-09,120.0,47,0.0,-
71,2020-03-10,127.0,67,7.0,▲
72,2020-03-11,122.5,66,-4.5,▼
73,2020-03-12,125.0,49,2.5,▲
74,2020-03-13,127.0,48,2.0,▲
75,2020-03-14,120.0,60,-7.0,▼
76,2020-03-15,120.0,60,0.0,-
77,2020-03-16,122.5,70,2.5,▲
78,2020-03-17,119.5,74,-3.0,▼
79,2020-03-18,127.5,66,8.0,▲
80,2020-03-19,125.5,45,-2.0,▼
81,2020-03-20,122.0,68,-3.5,▼
82,2020-03-21,122.5,66,0.5,▲
83,2020-03-22,120.0,78,-2.5,▼
84,2020-03-23,125.0,66,5.0,▲
85,2020-03-24,128.0,59,3.0,▲
86,2020-03-25,126.5,47,-1.5,▼
87,2020-03-26,118.0,36,-8.5,▼
88,2020-03-27,120.0,43,2.0,▲
89,2020-03-28,120.0,67,0.0,-
90,2020-03-29,118.5,59,-1.5,▼
91,2020-03-30,120.0,54,1.5,▲
92,2020-03-31,120.0,52,0.0,-
93,2020-04-01,117.5,56,-2.5,▼
94,2020-04-02,115.0,63,-2.5,▼
95,2020-04-03,120.0,87,5.0,▲
