,datetime,avg_price,volume
0,2019-12-30,110.0,53
1,2019-12-31,107.0,34
2,2020-01-01,110.0,45
3,2020-01-02,112.5,53
4,2020-01-03,107.5,57
5,2020-01-04,105.0,54
6,2020-01-05,99.5,62
7,2020-01-06,105.0,41
8,2020-01-07,102.5,55
9,2020-01-08,102.5,51
10,2020-01-09,110.0,47
11,2020-01-10,108.0,35
12,2020-01-11,105.0,45
13,2020-01-12,102.5,52
14,2020-01-13,103.5,31
15,2020-01-14,98.0,46
16,2020-01-15,100.0,33
17,2020-01-16,100.5,25
18,2020-01-17,99.5,25
19,2020-01-18,117.5,56
20,2020-01-19,100.0,44
21,2020-01-20,99.5,21
22,2020-01-21,99.5,41
23,2020-01-22,100.0,37
24,2020-01-23,99.0,23
25,2020-01-24,99.0,30
26,2020-01-25,98.5,26
27,2020-01-26,100.0,39
28,2020-01-27,97.5,31
29,2020-01-28,99.0,25
30,2020-01-29,92.5,46
31,2020-01-30,95.0,47
32,2020-01-31,89.5,63
33,2020-02-01,92.5,57
34,2020-02-02,90.5,41
35,2020-02-03,92.5,35
36,2020-02-04,92.5,61
37,2020-02-05,98.5,41
38,2020-02-06,102.0,56
39,2020-02-07,107.5,51
40,2020-02-08,105.0,55
41,2020-02-09,110.0,59
42,2020-02-10,115.0,47
43,2020-02-11,125.0,41
44,2020-02-12,120.0,36
45,2020-02-13,121.5,38
46,2020-02-14,116.5,44
47,2020-02-15,114.0,69
48,2020-02-16,109.0,62
49,2020-02-17,112.5,45
50,2020-02-18,108.0,51
51,2020-02-19,116.5,29
52,2020-02-20,112.0,34
53,2020-02-21,112.5,48
54,2020-02-22,115.5,44
55,2020-02-23,115.0,47
56,2020-02-24,118.0,38
57,2020-02-25,115.0,43
58,2020-02-26,119.0,38
59,2020-02-27,119.0,26
60,2020-02-28,110.5,26
61,2020-02-29,115.0,33
62,2020-03-01,114.5,26
63,2020-03-02,116.5,17
64,2020-03-03,112.5,41
65,2020-03-04,115.0,29
66,2020-03-05,122.0,38
67,2020-03-06,120.0,33
68,2020-03-07,117.5,69
69,2020-03-08,119.5,67
70,2020-03-09,128.0,37
71,2020-03-10,132.5,37
72,2020-03-11,135.0,46
73,2020-03-12,139.0,42
74,2020-03-13,137.0,43
75,2020-03-14,135.0,67
76,2020-03-15,145.0,56
77,2020-03-16,133.0,36
78,2020-03-17,137.5,51
79,2020-03-18,135.0,44
80,2020-03-19,139.5,36
81,2020-03-20,147.0,32
82,2020-03-21,140.0,52
83,2020-03-22,140.0,39
84,2020-03-23,139.5,47
85,2020-03-24,130.0,46
86,2020-03-25,136.5,30
87,2020-03-26,140.0,43
88,2020-03-27,135.5,53
