,datetime,avg_price,volume,day_before,yn_before
0,2019-12-31,12.0,4,0.0,-
1,2020-01-01,10.0,2,-2.0,▼
2,2020-01-02,12.0,5,2.0,▲
3,2020-01-03,10.0,2,-2.0,▼
4,2020-01-04,12.0,3,2.0,▲
5,2020-01-05,12.5,9,0.5,▲
6,2020-01-06,14.5,6,2.0,▲
7,2020-01-07,10.0,1,-4.5,▼
8,2020-01-08,12.0,4,2.0,▲
9,2020-01-09,12.5,8,0.5,▲
10,2020-01-11,11.5,4,-1.0,▼
11,2020-01-12,12.5,6,1.0,▲
12,2020-01-13,13.5,4,1.0,▲
13,2020-01-14,10.0,1,-3.5,▼
14,2020-01-15,14.5,2,4.5,▲
15,2020-01-16,10.5,4,-4.0,▼
16,2020-01-17,12.5,3,2.0,▲
17,2020-01-18,11.0,3,-1.5,▼
18,2020-01-19,14.0,6,3.0,▲
19,2020-01-20,14.0,2,0.0,-
20,2020-01-21,11.5,4,-2.5,▼
21,2020-01-22,14.0,5,2.5,▲
22,2020-01-23,14.5,13,0.5,▲
23,2020-01-24,12.5,3,-2.0,▼
24,2020-01-25,14.5,4,2.0,▲
25,2020-01-26,9.5,3,-5.0,▼
26,2020-01-27,17.0,1,7.5,▲
27,2020-01-29,16.0,2,-1.0,▼
28,2020-01-30,19.0,5,3.0,▲
29,2020-01-31,12.5,4,-6.5,▼
30,2020-02-01,12.0,7,-0.5,▼
31,2020-02-02,14.5,9,2.5,▲
32,2020-02-03,14.0,5,-0.5,▼
33,2020-02-04,14.0,3,0.0,-
34,2020-02-05,13.0,1,-1.0,▼
35,2020-02-06,10.0,1,-3.0,▼
36,2020-02-07,15.0,1,5.0,▲
37,2020-02-08,12.5,5,-2.5,▼
38,2020-02-09,12.5,4,0.0,-
39,2020-02-10,15.0,2,2.5,▲
40,2020-02-11,15.0,1,0.0,-
41,2020-02-13,12.0,1,-3.0,▼
42,2020-02-14,14.5,3,2.5,▲
43,2020-02-15,14.0,7,-0.5,▼
44,2020-02-16,20.5,9,6.5,▲
45,2020-02-17,14.0,10,-6.5,▼
46,2020-02-18,9.5,3,-4.5,▼
47,2020-02-19,14.5,3,5.0,▲
48,2020-02-20,18.5,3,4.0,▲
49,2020-02-21,16.0,2,-2.5,▼
50,2020-02-22,19.0,7,3.0,▲
51,2020-02-23,13.5,7,-5.5,▼
52,2020-02-24,15.0,3,1.5,▲
53,2020-02-25,20.0,3,5.0,▲
54,2020-02-26,13.5,3,-6.5,▼
55,2020-02-27,15.0,2,1.5,▲
56,2020-02-28,16.0,3,1.0,▲
57,2020-02-29,17.5,5,1.5,▲
58,2020-03-01,17.5,5,0.0,-
59,2020-03-02,20.0,1,2.5,▲
60,2020-03-03,15.0,4,-5.0,▼
61,2020-03-04,16.5,3,1.5,▲
62,2020-03-05,17.0,3,0.5,▲
63,2020-03-06,15.0,5,-2.0,▼
64,2020-03-07,14.0,10,-1.0,▼
65,2020-03-08,16.5,4,2.5,▲
66,2020-03-09,17.5,4,1.0,▲
67,2020-03-10,12.0,2,-5.5,▼
68,2020-03-11,20.0,1,8.0,▲
69,2020-03-12,18.0,4,-2.0,▼
70,2020-03-13,17.5,5,-0.5,▼
71,2020-03-14,20.0,1,2.5,▲
72,2020-03-15,15.0,4,-5.0,▼
73,2020-03-16,13.5,4,-1.5,▼
74,2020-03-17,17.5,6,4.0,▲
75,2020-03-18,15.0,5,-2.5,▼
76,2020-03-19,19.5,3,4.5,▲
77,2020-03-20,14.5,5,-5.0,▼
78,2020-03-21,15.5,5,1.0,▲
79,2020-03-22,15.0,7,-0.5,▼
80,2020-03-23,13.5,5,-1.5,▼
81,2020-03-24,19.5,3,6.0,▲
82,2020-03-25,15.0,5,-4.5,▼
83,2020-03-26,17.0,4,2.0,▲
84,2020-03-27,15.5,7,-1.5,▼
85,2020-03-28,16.0,8,0.5,▲
86,2020-03-29,16.0,4,0.0,-
87,2020-03-30,10.0,1,-6.0,▼
88,2020-03-31,15.0,7,5.0,▲
89,2020-04-01,14.5,7,-0.5,▼
90,2020-04-02,12.5,9,-2.0,▼
91,2020-04-03,14.5,4,2.0,▲
