,datetime,avg_price,volume,day_before,yn_before
0,2019-12-31,10.0,9,0.0,-
1,2020-01-01,12.5,11,2.5,▲
2,2020-01-02,7.5,7,-5.0,▼
3,2020-01-03,12.5,11,5.0,▲
4,2020-01-04,12.5,11,0.0,-
5,2020-01-05,12.5,13,0.0,-
6,2020-01-06,12.5,8,0.0,-
7,2020-01-07,12.5,10,0.0,-
8,2020-01-08,15.5,11,3.0,▲
9,2020-01-09,12.5,12,-3.0,▼
10,2020-01-10,10.5,11,-2.0,▼
11,2020-01-11,11.0,4,0.5,▲
12,2020-01-12,12.0,9,1.0,▲
13,2020-01-13,9.5,5,-2.5,▼
14,2020-01-14,12.5,9,3.0,▲
15,2020-01-15,9.5,6,-3.0,▼
16,2020-01-16,10.0,4,0.5,▲
17,2020-01-17,9.0,6,-1.0,▼
18,2020-01-18,10.0,8,1.0,▲
19,2020-01-19,11.5,10,1.5,▲
20,2020-01-20,10.0,5,-1.5,▼
21,2020-01-21,17.0,10,7.0,▲
22,2020-01-22,11.0,6,-6.0,▼
23,2020-01-23,9.5,5,-1.5,▼
24,2020-01-24,12.5,13,3.0,▲
25,2020-01-25,9.5,7,-3.0,▼
26,2020-01-26,12.0,12,2.5,▲
27,2020-01-27,11.0,12,-1.0,▼
28,2020-01-28,11.0,2,0.0,-
29,2020-01-29,11.5,6,0.5,▲
30,2020-01-30,10.5,9,-1.0,▼
31,2020-01-31,10.0,9,-0.5,▼
32,2020-02-01,10.0,11,0.0,-
33,2020-02-02,11.0,9,1.0,▲
34,2020-02-03,10.5,5,-0.5,▼
35,2020-02-04,10.0,9,-0.5,▼
36,2020-02-05,15.0,7,5.0,▲
37,2020-02-06,8.5,8,-6.5,▼
38,2020-02-07,15.0,6,6.5,▲
39,2020-02-08,11.0,11,-4.0,▼
40,2020-02-09,12.0,8,1.0,▲
41,2020-02-10,12.0,13,0.0,-
42,2020-02-11,14.5,7,2.5,▲
43,2020-02-12,14.0,3,-0.5,▼
44,2020-02-13,9.5,8,-4.5,▼
45,2020-02-14,14.0,24,4.5,▲
46,2020-02-15,17.0,19,3.0,▲
47,2020-02-16,14.5,13,-2.5,▼
48,2020-02-17,14.0,6,-0.5,▼
49,2020-02-18,14.0,8,0.0,-
50,2020-02-19,12.0,11,-2.0,▼
51,2020-02-20,13.5,8,1.5,▲
52,2020-02-21,13.5,9,0.0,-
53,2020-02-22,12.5,7,-1.0,▼
54,2020-02-23,13.0,8,0.5,▲
55,2020-02-24,11.5,5,-1.5,▼
56,2020-02-25,14.0,9,2.5,▲
57,2020-02-26,12.0,9,-2.0,▼
58,2020-02-27,14.0,7,2.0,▲
59,2020-02-28,14.0,7,0.0,-
60,2020-02-29,14.5,15,0.5,▲
61,2020-03-01,13.5,13,-1.0,▼
62,2020-03-02,16.5,6,3.0,▲
63,2020-03-03,17.5,8,1.0,▲
64,2020-03-04,14.0,10,-3.5,▼
65,2020-03-05,12.0,6,-2.0,▼
66,2020-03-06,17.0,4,5.0,▲
67,2020-03-07,15.0,14,-2.0,▼
68,2020-03-08,10.0,13,-5.0,▼
69,2020-03-09,12.5,9,2.5,▲
70,2020-03-10,12.5,13,0.0,-
71,2020-03-11,15.0,8,2.5,▲
72,2020-03-12,10.5,5,-4.5,▼
73,2020-03-13,12.5,10,2.0,▲
74,2020-03-14,13.5,10,1.0,▲
75,2020-03-15,14.0,6,0.5,▲
76,2020-03-16,14.5,6,0.5,▲
77,2020-03-17,11.5,12,-3.0,▼
78,2020-03-18,15.5,9,4.0,▲
79,2020-03-19,11.5,13,-4.0,▼
80,2020-03-20,12.5,7,1.0,▲
81,2020-03-21,11.5,11,-1.0,▼
82,2020-03-22,15.0,12,3.5,▲
83,2020-03-23,14.5,9,-0.5,▼
84,2020-03-24,9.5,7,-5.0,▼
85,2020-03-25,9.5,5,0.0,-
86,2020-03-26,9.0,13,-0.5,▼
87,2020-03-27,11.5,13,2.5,▲
88,2020-03-28,9.5,22,-2.0,▼
89,2020-03-29,11.5,17,2.0,▲
90,2020-03-30,11.0,5,-0.5,▼
91,2020-03-31,9.5,6,-1.5,▼
92,2020-04-01,9.5,9,0.0,-
93,2020-04-02,9.5,9,0.0,-
94,2020-04-03,19.5,12,10.0,▲
