,datetime,avg_price,volume,day_before,yn_before,lank
0,2020-01-13,20.0,10,0.0,-,0.0
1,2020-01-14,20.8,19,0.8,▲,1.0
2,2020-01-15,20.9,13,0.1,▲,2.0
3,2020-01-16,19.4,6,-1.5,▼,1.0
4,2020-01-17,19.0,27,-0.4,▼,0.0
5,2020-01-18,18.5,16,-0.5,▼,-1.0
6,2020-01-19,17.5,28,-1.0,▼,-2.0
7,2020-01-20,17.1,12,-0.4,▼,-3.0
8,2020-01-21,16.9,10,-0.2,▼,-4.0
9,2020-01-22,17.1,19,0.2,▲,-3.0
10,2020-01-23,17.1,10,0.0,-,-3.0
11,2020-01-24,17.1,13,0.0,-,-3.0
12,2020-01-25,17.3,15,0.2,▲,-2.0
13,2020-01-26,18.0,12,0.7,▲,-1.0
14,2020-01-27,18.2,11,0.2,▲,0.0
15,2020-01-28,18.5,12,0.3,▲,1.0
16,2020-01-29,18.1,13,-0.4,▼,0.0
17,2020-01-30,17.9,9,-0.2,▼,-1.0
18,2020-01-31,17.6,14,-0.3,▼,-2.0
19,2020-02-01,17.4,31,-0.2,▼,-3.0
20,2020-02-02,17.0,20,-0.4,▼,-4.0
21,2020-02-03,17.4,16,0.4,▲,-3.0
22,2020-02-04,16.9,21,-0.5,▼,-4.0
23,2020-02-05,17.1,23,0.2,▲,-3.0
24,2020-02-06,17.3,16,0.2,▲,-2.0
25,2020-02-07,17.6,19,0.3,▲,-1.0
26,2020-02-08,17.9,18,0.3,▲,0.0
27,2020-02-09,18.6,14,0.7,▲,1.0
28,2020-02-10,18.8,9,0.2,▲,2.0
29,2020-02-11,18.6,31,-0.2,▼,1.0
30,2020-02-12,18.7,11,0.1,▲,2.0
31,2020-02-13,18.6,10,-0.1,▼,1.0
32,2020-02-14,18.4,30,-0.2,▼,0.0
33,2020-02-15,18.5,44,0.1,▲,1.0
34,2020-02-16,21.5,58,3.0,▲,2.0
35,2020-02-17,21.6,14,0.1,▲,3.0
36,2020-02-18,23.4,23,1.8,▲,4.0
37,2020-02-19,26.7,14,3.3,▲,5.0
38,2020-02-20,27.1,17,0.4,▲,6.0
39,2020-02-21,24.1,23,-3.0,▼,5.0
40,2020-02-22,24.1,15,0.0,-,5.0
41,2020-02-23,22.1,19,-2.0,▼,4.0
42,2020-02-24,19.0,7,-3.1,▼,3.0
43,2020-02-25,18.7,13,-0.3,▼,2.0
44,2020-02-26,18.9,10,0.2,▲,3.0
45,2020-02-27,18.5,11,-0.4,▼,2.0
46,2020-02-28,18.9,11,0.4,▲,3.0
47,2020-02-29,19.2,8,0.3,▲,4.0
48,2020-03-01,18.8,9,-0.4,▼,3.0
49,2020-03-02,19.0,13,0.2,▲,4.0
50,2020-03-03,20.0,11,1.0,▲,5.0
51,2020-03-04,20.1,10,0.1,▲,6.0
52,2020-03-05,19.9,8,-0.2,▼,5.0
53,2020-03-06,19.9,11,0.0,-,5.0
54,2020-03-07,21.0,40,1.1,▲,6.0
55,2020-03-08,20.4,16,-0.6,▼,5.0
56,2020-03-09,19.9,21,-0.5,▼,4.0
57,2020-03-10,20.6,12,0.7,▲,5.0
58,2020-03-11,21.0,16,0.4,▲,6.0
59,2020-03-12,20.4,29,-0.6,▼,5.0
60,2020-03-13,20.3,9,-0.1,▼,4.0
61,2020-03-14,21.0,15,0.7,▲,5.0
62,2020-03-15,20.5,14,-0.5,▼,4.0
63,2020-03-16,20.4,11,-0.1,▼,3.0
64,2020-03-17,20.0,15,-0.4,▼,2.0
65,2020-03-18,20.7,33,0.7,▲,3.0
66,2020-03-19,21.5,15,0.8,▲,4.0
67,2020-03-20,22.0,23,0.5,▲,5.0
68,2020-03-21,22.2,23,0.2,▲,6.0
69,2020-03-22,22.4,24,0.2,▲,7.0
70,2020-03-23,21.9,9,-0.5,▼,6.0
71,2020-03-24,21.7,19,-0.2,▼,5.0
72,2020-03-25,20.9,9,-0.8,▼,4.0
73,2020-03-26,21.5,6,0.6,▲,5.0
74,2020-03-27,22.2,11,0.7,▲,6.0
75,2020-03-28,22.3,15,0.1,▲,7.0
76,2020-03-29,21.0,27,-1.3,▼,6.0
77,2020-03-30,21.3,10,0.3,▲,7.0
78,2020-03-31,21.0,22,-0.3,▼,6.0
79,2020-04-01,20.6,17,-0.4,▼,5.0
80,2020-04-02,21.0,23,0.4,▲,6.0
81,2020-04-03,22.4,13,1.4,▲,7.0
82,2020-04-04,22.9,24,0.5,▲,8.0
83,2020-04-05,22.9,32,0.0,-,8.0
84,2020-04-06,23.9,19,1.0,▲,9.0
85,2020-04-07,24.4,31,0.5,▲,10.0
86,2020-04-08,23.6,25,-0.8,▼,9.0
87,2020-04-09,24.0,11,0.4,▲,10.0
88,2020-04-10,24.0,25,0.0,-,10.0
89,2020-04-11,23.5,25,-0.5,▼,9.0
90,2020-04-12,23.5,17,0.0,-,9.0
91,2020-04-13,24.4,25,0.9,▲,10.0
92,2020-04-14,24.5,14,0.1,▲,11.0
93,2020-04-15,24.1,24,-0.4,▼,10.0
94,2020-04-16,24.6,14,0.5,▲,11.0
95,2020-04-17,24.1,19,-0.5,▼,10.0
96,2020-04-18,23.6,14,-0.5,▼,9.0
97,2020-04-19,24.0,26,0.4,▲,10.0
98,2020-04-20,24.7,20,0.7,▲,11.0
99,2020-04-21,23.9,13,-0.8,▼,10.0
100,2020-04-22,24.4,20,0.5,▲,11.0
101,2020-04-23,23.9,23,-0.5,▼,10.0
102,2020-04-24,22.9,11,-1.0,▼,9.0
103,2020-04-25,23.1,20,0.2,▲,10.0
