,datetime,avg_price,volume,day_before,yn_before
0,2019-12-31,42.5,24,0.0,-
1,2020-01-01,45.0,34,2.5,▲
2,2020-01-02,42.0,32,-3.0,▼
3,2020-01-03,40.0,24,-2.0,▼
4,2020-01-04,38.5,26,-1.5,▼
5,2020-01-05,37.5,31,-1.0,▼
6,2020-01-06,39.5,19,2.0,▲
7,2020-01-07,40.0,20,0.5,▲
8,2020-01-08,38.5,25,-1.5,▼
9,2020-01-09,40.0,23,1.5,▲
10,2020-01-10,41.5,15,1.5,▲
11,2020-01-11,40.0,34,-1.5,▼
12,2020-01-12,40.0,37,0.0,-
13,2020-01-13,42.5,12,2.5,▲
14,2020-01-14,42.5,17,0.0,-
15,2020-01-15,40.5,20,-2.0,▼
16,2020-01-16,42.5,26,2.0,▲
17,2020-01-17,40.5,13,-2.0,▼
18,2020-01-18,40.0,18,-0.5,▼
19,2020-01-19,40.0,24,0.0,-
20,2020-01-20,42.5,22,2.5,▲
21,2020-01-21,49.0,12,6.5,▲
22,2020-01-22,42.0,15,-7.0,▼
23,2020-01-23,39.5,7,-2.5,▼
24,2020-01-24,40.0,17,0.5,▲
25,2020-01-25,40.0,19,0.0,-
26,2020-01-26,41.0,12,1.0,▲
27,2020-01-27,39.0,13,-2.0,▼
28,2020-01-28,38.5,14,-0.5,▼
29,2020-01-29,34.5,16,-4.0,▼
30,2020-01-30,34.0,12,-0.5,▼
31,2020-01-31,40.5,23,6.5,▲
32,2020-02-01,40.0,32,-0.5,▼
33,2020-02-02,40.0,23,0.0,-
34,2020-02-03,40.5,17,0.5,▲
35,2020-02-04,40.0,27,-0.5,▼
36,2020-02-05,39.5,16,-0.5,▼
37,2020-02-06,42.5,24,3.0,▲
38,2020-02-07,42.5,26,0.0,-
39,2020-02-08,42.5,22,0.0,-
40,2020-02-09,42.5,23,0.0,-
41,2020-02-10,40.0,22,-2.5,▼
42,2020-02-11,42.5,20,2.5,▲
43,2020-02-12,39.0,19,-3.5,▼
44,2020-02-13,49.5,16,10.5,▲
45,2020-02-14,40.0,27,-9.5,▼
46,2020-02-15,49.5,39,9.5,▲
47,2020-02-16,50.0,36,0.5,▲
48,2020-02-17,50.0,18,0.0,-
49,2020-02-18,49.5,13,-0.5,▼
50,2020-02-19,59.0,18,9.5,▲
51,2020-02-20,45.0,26,-14.0,▼
52,2020-02-21,55.0,28,10.0,▲
53,2020-02-22,53.0,20,-2.0,▼
54,2020-02-23,52.0,23,-1.0,▼
55,2020-02-24,52.5,16,0.5,▲
56,2020-02-25,49.5,25,-3.0,▼
57,2020-02-26,47.0,17,-2.5,▼
58,2020-02-27,55.0,14,8.0,▲
59,2020-02-28,49.5,16,-5.5,▼
60,2020-02-29,50.0,30,0.5,▲
61,2020-03-01,48.5,15,-1.5,▼
62,2020-03-02,50.0,20,1.5,▲
63,2020-03-03,54.5,16,4.5,▲
64,2020-03-04,49.0,18,-5.5,▼
65,2020-03-05,49.0,13,0.0,-
66,2020-03-06,50.0,18,1.0,▲
67,2020-03-07,50.0,35,0.0,-
68,2020-03-08,50.0,34,0.0,-
69,2020-03-09,50.0,19,0.0,-
70,2020-03-10,52.5,22,2.5,▲
71,2020-03-11,50.0,18,-2.5,▼
72,2020-03-12,50.0,28,0.0,-
73,2020-03-13,50.0,21,0.0,-
74,2020-03-14,47.0,25,-3.0,▼
75,2020-03-15,50.0,28,3.0,▲
76,2020-03-16,49.5,33,-0.5,▼
77,2020-03-17,42.5,16,-7.0,▼
78,2020-03-18,41.5,24,-1.0,▼
79,2020-03-19,38.0,27,-3.5,▼
80,2020-03-20,45.0,35,7.0,▲
81,2020-03-21,40.0,23,-5.0,▼
82,2020-03-22,39.5,26,-0.5,▼
83,2020-03-23,40.0,22,0.5,▲
84,2020-03-24,40.0,10,0.0,-
85,2020-03-25,32.5,20,-7.5,▼
86,2020-03-26,38.5,14,6.0,▲
87,2020-03-27,40.0,28,1.5,▲
88,2020-03-28,37.5,46,-2.5,▼
89,2020-03-29,40.0,31,2.5,▲
90,2020-03-30,40.0,21,0.0,-
91,2020-03-31,40.0,15,0.0,-
92,2020-04-01,39.0,39,-1.0,▼
93,2020-04-02,34.5,29,-4.5,▼
94,2020-04-03,39.0,17,4.5,▲
