,datetime,avg_price,volume,day_before,yn_before
0,2019-12-31,105.0,18,0.0,-
1,2020-01-01,107.0,17,2.0,▲
2,2020-01-02,100.0,20,-7.0,▼
3,2020-01-03,92.0,20,-8.0,▼
4,2020-01-04,90.5,27,-1.5,▼
5,2020-01-05,92.5,15,2.0,▲
6,2020-01-06,89.5,26,-3.0,▼
7,2020-01-07,85.0,10,-4.5,▼
8,2020-01-08,92.5,15,7.5,▲
9,2020-01-09,87.5,21,-5.0,▼
10,2020-01-10,92.5,12,5.0,▲
11,2020-01-11,90.0,16,-2.5,▼
12,2020-01-12,94.5,24,4.5,▲
13,2020-01-13,95.0,16,0.5,▲
14,2020-01-14,92.5,19,-2.5,▼
15,2020-01-15,97.0,12,4.5,▲
16,2020-01-16,100.0,14,3.0,▲
17,2020-01-17,102.5,12,2.5,▲
18,2020-01-18,92.5,12,-10.0,▼
19,2020-01-19,88.0,16,-4.5,▼
20,2020-01-20,79.5,7,-8.5,▼
21,2020-01-21,94.5,17,15.0,▲
22,2020-01-22,100.0,15,5.5,▲
23,2020-01-23,95.0,5,-5.0,▼
24,2020-01-24,97.5,17,2.5,▲
25,2020-01-25,90.0,14,-7.5,▼
26,2020-01-26,99.0,15,9.0,▲
27,2020-01-27,99.5,8,0.5,▲
28,2020-01-28,99.0,7,-0.5,▼
29,2020-01-29,97.5,11,-1.5,▼
30,2020-01-30,100.0,13,2.5,▲
31,2020-01-31,90.0,14,-10.0,▼
32,2020-02-01,90.0,25,0.0,-
33,2020-02-02,92.5,16,2.5,▲
34,2020-02-03,90.0,15,-2.5,▼
35,2020-02-04,94.5,11,4.5,▲
36,2020-02-05,85.0,8,-9.5,▼
37,2020-02-06,85.0,16,0.0,-
38,2020-02-07,92.5,20,7.5,▲
39,2020-02-08,92.5,10,0.0,-
40,2020-02-09,92.0,14,-0.5,▼
41,2020-02-10,84.5,10,-7.5,▼
42,2020-02-11,80.0,15,-4.5,▼
43,2020-02-12,86.0,19,6.0,▲
44,2020-02-13,92.5,12,6.5,▲
45,2020-02-14,87.5,23,-5.0,▼
46,2020-02-15,90.0,37,2.5,▲
47,2020-02-16,89.5,30,-0.5,▼
48,2020-02-17,94.0,16,4.5,▲
49,2020-02-18,97.5,11,3.5,▲
50,2020-02-19,95.0,15,-2.5,▼
51,2020-02-20,92.5,15,-2.5,▼
52,2020-02-21,95.0,14,2.5,▲
53,2020-02-22,99.0,13,4.0,▲
54,2020-02-23,100.0,13,1.0,▲
55,2020-02-24,97.5,4,-2.5,▼
56,2020-02-25,94.0,11,-3.5,▼
57,2020-02-26,96.5,5,2.5,▲
58,2020-02-27,90.0,10,-6.5,▼
59,2020-02-28,94.5,12,4.5,▲
60,2020-02-29,92.5,19,-2.0,▼
61,2020-03-01,86.0,18,-6.5,▼
62,2020-03-02,94.0,16,8.0,▲
63,2020-03-03,87.5,16,-6.5,▼
64,2020-03-04,92.5,9,5.0,▲
65,2020-03-05,94.5,10,2.0,▲
66,2020-03-06,90.0,14,-4.5,▼
67,2020-03-07,94.5,27,4.5,▲
68,2020-03-08,99.5,24,5.0,▲
69,2020-03-09,97.5,9,-2.0,▼
70,2020-03-10,100.0,23,2.5,▲
71,2020-03-11,105.0,8,5.0,▲
72,2020-03-12,99.0,14,-6.0,▼
73,2020-03-13,95.0,12,-4.0,▼
74,2020-03-14,80.0,23,-15.0,▼
75,2020-03-15,84.5,21,4.5,▲
76,2020-03-16,97.0,23,12.5,▲
77,2020-03-17,99.5,13,2.5,▲
78,2020-03-18,97.0,14,-2.5,▼
79,2020-03-19,104.5,15,7.5,▲
80,2020-03-20,80.0,21,-24.5,▼
81,2020-03-21,82.5,13,2.5,▲
82,2020-03-22,80.0,31,-2.5,▼
83,2020-03-23,80.0,17,0.0,-
84,2020-03-24,75.0,16,-5.0,▼
85,2020-03-25,81.5,11,6.5,▲
86,2020-03-26,72.5,17,-9.0,▼
87,2020-03-27,74.0,16,1.5,▲
88,2020-03-28,80.5,42,6.5,▲
89,2020-03-29,81.0,19,0.5,▲
90,2020-03-30,85.0,13,4.0,▲
91,2020-03-31,80.0,18,-5.0,▼
92,2020-04-01,83.5,30,3.5,▲
93,2020-04-02,78.5,36,-5.0,▼
94,2020-04-03,77.5,24,-1.0,▼
