,datetime,avg_price,volume,day_before,yn_before,lank
0,2020-01-13,38.6,20,0.0,-,0.0
1,2020-01-14,38.9,16,0.3,▲,1.0
2,2020-01-15,38.8,11,-0.1,▼,0.0
3,2020-01-16,38.6,13,-0.2,▼,-1.0
4,2020-01-17,38.5,8,-0.1,▼,-2.0
5,2020-01-18,39.3,9,0.8,▲,-1.0
6,2020-01-19,38.8,13,-0.5,▼,-2.0
7,2020-01-20,38.8,12,0.0,-,-2.0
8,2020-01-21,38.5,11,-0.3,▼,-3.0
9,2020-01-22,38.7,6,0.2,▲,-2.0
10,2020-01-23,39.3,13,0.6,▲,-1.0
11,2020-01-24,39.8,15,0.5,▲,0.0
12,2020-01-25,39.9,9,0.1,▲,1.0
13,2020-01-26,40.8,23,0.9,▲,2.0
14,2020-01-27,40.8,15,0.0,-,2.0
15,2020-01-28,39.9,18,-0.9,▼,1.0
16,2020-01-29,40.4,10,0.5,▲,2.0
17,2020-01-30,41.0,14,0.6,▲,3.0
18,2020-01-31,41.4,15,0.4,▲,4.0
19,2020-02-01,41.5,20,0.1,▲,5.0
20,2020-02-02,42.3,13,0.8,▲,6.0
21,2020-02-03,41.8,15,-0.5,▼,5.0
22,2020-02-04,41.8,16,0.0,-,5.0
23,2020-02-05,40.9,13,-0.9,▼,4.0
24,2020-02-06,40.8,10,-0.1,▼,3.0
25,2020-02-07,41.0,11,0.2,▲,4.0
26,2020-02-08,40.8,8,-0.2,▼,3.0
27,2020-02-09,40.3,27,-0.5,▼,2.0
28,2020-02-10,40.4,17,0.1,▲,3.0
29,2020-02-11,40.1,9,-0.3,▼,2.0
30,2020-02-12,38.5,12,-1.6,▼,1.0
31,2020-02-13,38.5,16,0.0,-,1.0
32,2020-02-14,38.5,22,0.0,-,1.0
33,2020-02-15,38.3,14,-0.2,▼,0.0
34,2020-02-16,39.0,18,0.7,▲,1.0
35,2020-02-17,40.1,21,1.1,▲,2.0
36,2020-02-18,41.2,17,1.1,▲,3.0
37,2020-02-19,43.2,13,2.0,▲,4.0
38,2020-02-20,45.4,21,2.2,▲,5.0
39,2020-02-21,45.8,15,0.4,▲,6.0
40,2020-02-22,45.8,21,0.0,-,6.0
41,2020-02-23,45.2,21,-0.6,▼,5.0
42,2020-02-24,43.6,14,-1.6,▼,4.0
43,2020-02-25,43.1,11,-0.5,▼,3.0
44,2020-02-26,42.9,11,-0.2,▼,2.0
45,2020-02-27,43.4,13,0.5,▲,3.0
46,2020-02-28,44.6,5,1.2,▲,4.0
47,2020-02-29,44.7,20,0.1,▲,5.0
48,2020-03-01,43.7,19,-1.0,▼,4.0
49,2020-03-02,44.0,9,0.3,▲,5.0
50,2020-03-03,45.5,6,1.5,▲,6.0
51,2020-03-04,45.0,12,-0.5,▼,5.0
52,2020-03-05,45.4,7,0.4,▲,6.0
53,2020-03-06,45.9,13,0.5,▲,7.0
54,2020-03-07,45.4,36,-0.5,▼,6.0
55,2020-03-08,43.9,21,-1.5,▼,5.0
56,2020-03-09,43.9,17,0.0,-,5.0
57,2020-03-10,43.5,11,-0.4,▼,4.0
58,2020-03-11,43.5,10,0.0,-,4.0
59,2020-03-12,44.3,8,0.8,▲,5.0
60,2020-03-13,44.6,13,0.3,▲,6.0
61,2020-03-14,44.3,23,-0.3,▼,5.0
62,2020-03-15,44.4,21,0.1,▲,6.0
63,2020-03-16,45.1,17,0.7,▲,7.0
64,2020-03-17,43.8,15,-1.3,▼,6.0
65,2020-03-18,44.0,17,0.2,▲,7.0
66,2020-03-19,43.8,17,-0.2,▼,6.0
67,2020-03-20,42.7,17,-1.1,▼,5.0
68,2020-03-21,41.0,23,-1.7,▼,4.0
69,2020-03-22,41.5,18,0.5,▲,5.0
70,2020-03-23,40.8,12,-0.7,▼,4.0
71,2020-03-24,40.6,9,-0.2,▼,3.0
72,2020-03-25,41.5,13,0.9,▲,4.0
73,2020-03-26,42.0,16,0.5,▲,5.0
74,2020-03-27,41.5,19,-0.5,▼,4.0
75,2020-03-28,41.2,20,-0.3,▼,3.0
76,2020-03-29,40.4,13,-0.8,▼,2.0
77,2020-03-30,39.2,19,-1.2,▼,1.0
78,2020-03-31,38.5,14,-0.7,▼,0.0
79,2020-04-01,38.7,21,0.2,▲,1.0
80,2020-04-02,38.7,17,0.0,-,1.0
81,2020-04-03,39.2,18,0.5,▲,2.0
82,2020-04-04,40.0,14,0.8,▲,3.0
83,2020-04-05,39.7,17,-0.3,▼,2.0
84,2020-04-06,39.4,19,-0.3,▼,1.0
85,2020-04-07,39.2,14,-0.2,▼,0.0
86,2020-04-08,39.0,16,-0.2,▼,-1.0
87,2020-04-09,38.9,19,-0.1,▼,-2.0
88,2020-04-10,39.1,20,0.2,▲,-1.0
