,datetime,avg_price,volume,day_before,yn_before
0,2019-12-31,58.0,42,0.0,-
1,2020-01-01,64.0,62,6.0,▲
2,2020-01-02,65.0,40,1.0,▲
3,2020-01-03,62.5,39,-2.5,▼
4,2020-01-04,60.0,28,-2.5,▼
5,2020-01-05,58.0,55,-2.0,▼
6,2020-01-06,61.5,32,3.5,▲
7,2020-01-07,67.5,37,6.0,▲
8,2020-01-08,66.5,45,-1.0,▼
9,2020-01-09,65.0,31,-1.5,▼
10,2020-01-10,69.5,70,4.5,▲
11,2020-01-11,66.5,29,-3.0,▼
12,2020-01-12,67.5,64,1.0,▲
13,2020-01-13,67.5,26,0.0,-
14,2020-01-14,70.0,47,2.5,▲
15,2020-01-15,69.0,21,-1.0,▼
16,2020-01-16,75.0,15,6.0,▲
17,2020-01-17,72.5,29,-2.5,▼
18,2020-01-18,69.0,40,-3.5,▼
19,2020-01-19,69.5,19,0.5,▲
20,2020-01-20,80.0,34,10.5,▲
21,2020-01-21,75.5,27,-4.5,▼
22,2020-01-22,70.0,19,-5.5,▼
23,2020-01-23,79.0,21,9.0,▲
24,2020-01-24,77.5,27,-1.5,▼
25,2020-01-25,82.0,37,4.5,▲
26,2020-01-26,81.5,31,-0.5,▼
27,2020-01-27,82.5,20,1.0,▲
28,2020-01-28,86.0,35,3.5,▲
29,2020-01-29,80.0,29,-6.0,▼
30,2020-01-30,84.0,28,4.0,▲
31,2020-01-31,87.0,32,3.0,▲
32,2020-02-01,82.5,46,-4.5,▼
33,2020-02-02,78.5,46,-4.0,▼
34,2020-02-03,89.0,36,10.5,▲
35,2020-02-04,89.0,37,0.0,-
36,2020-02-05,84.5,37,-4.5,▼
37,2020-02-06,77.5,29,-7.0,▼
38,2020-02-07,82.0,34,4.5,▲
39,2020-02-08,81.0,34,-1.0,▼
40,2020-02-09,81.5,34,0.5,▲
41,2020-02-10,84.0,37,2.5,▲
42,2020-02-11,90.0,32,6.0,▲
43,2020-02-12,82.5,33,-7.5,▼
44,2020-02-13,89.0,33,6.5,▲
45,2020-02-14,85.0,46,-4.0,▼
46,2020-02-15,80.0,57,-5.0,▼
47,2020-02-16,80.0,58,0.0,-
48,2020-02-17,82.5,44,2.5,▲
49,2020-02-18,88.5,30,6.0,▲
50,2020-02-19,85.0,36,-3.5,▼
51,2020-02-20,89.0,39,4.0,▲
52,2020-02-21,87.5,24,-1.5,▼
53,2020-02-22,87.5,51,0.0,-
54,2020-02-23,88.5,27,1.0,▲
55,2020-02-24,90.0,46,1.5,▲
56,2020-02-25,87.5,29,-2.5,▼
57,2020-02-26,90.0,47,2.5,▲
58,2020-02-27,87.5,29,-2.5,▼
59,2020-02-28,89.5,41,2.0,▲
60,2020-02-29,87.5,39,-2.0,▼
61,2020-03-01,87.5,55,0.0,-
62,2020-03-02,92.0,37,4.5,▲
63,2020-03-03,89.5,31,-2.5,▼
64,2020-03-04,85.0,49,-4.5,▼
65,2020-03-05,90.0,28,5.0,▲
66,2020-03-06,90.0,50,0.0,-
67,2020-03-07,90.0,68,0.0,-
68,2020-03-08,90.0,59,0.0,-
69,2020-03-09,90.0,41,0.0,-
70,2020-03-10,88.0,45,-2.0,▼
71,2020-03-11,92.5,57,4.5,▲
72,2020-03-12,92.5,35,0.0,-
73,2020-03-13,90.0,41,-2.5,▼
74,2020-03-14,90.0,42,0.0,-
75,2020-03-15,90.0,56,0.0,-
76,2020-03-16,92.5,49,2.5,▲
77,2020-03-17,90.0,49,-2.5,▼
78,2020-03-18,90.0,62,0.0,-
79,2020-03-19,90.0,47,0.0,-
80,2020-03-20,90.0,52,0.0,-
81,2020-03-21,90.0,50,0.0,-
82,2020-03-22,87.5,51,-2.5,▼
83,2020-03-23,89.0,37,1.5,▲
84,2020-03-24,89.0,51,0.0,-
85,2020-03-25,85.5,44,-3.5,▼
86,2020-03-26,85.5,45,0.0,-
87,2020-03-27,87.0,46,1.5,▲
88,2020-03-28,86.0,65,-1.0,▼
89,2020-03-29,85.0,44,-1.0,▼
90,2020-03-30,89.0,52,4.0,▲
91,2020-03-31,88.0,40,-1.0,▼
92,2020-04-01,87.5,63,-0.5,▼
93,2020-04-02,89.0,40,1.5,▲
94,2020-04-03,87.0,53,-2.0,▼
