,datetime,avg_price,volume,day_before,yn_before
0,2019-12-31,47.5,20,0.0,-
1,2020-01-01,50.0,20,2.5,▲
2,2020-01-02,55.0,11,5.0,▲
3,2020-01-03,44.5,21,-10.5,▼
4,2020-01-04,41.5,25,-3.0,▼
5,2020-01-05,40.0,19,-1.5,▼
6,2020-01-06,45.5,17,5.5,▲
7,2020-01-07,45.0,16,-0.5,▼
8,2020-01-08,42.5,19,-2.5,▼
9,2020-01-09,42.5,21,0.0,-
10,2020-01-10,40.5,9,-2.0,▼
11,2020-01-11,44.5,15,4.0,▲
12,2020-01-12,39.5,15,-5.0,▼
13,2020-01-13,43.5,12,4.0,▲
14,2020-01-14,39.0,6,-4.5,▼
15,2020-01-15,45.0,11,6.0,▲
16,2020-01-16,40.0,23,-5.0,▼
17,2020-01-17,39.5,10,-0.5,▼
18,2020-01-18,40.0,30,0.5,▲
19,2020-01-19,42.5,21,2.5,▲
20,2020-01-20,42.5,20,0.0,-
21,2020-01-21,39.0,14,-3.5,▼
22,2020-01-22,67.0,18,28.0,▲
23,2020-01-23,44.5,17,-22.5,▼
24,2020-01-24,39.0,11,-5.5,▼
25,2020-01-25,45.0,17,6.0,▲
26,2020-01-26,40.0,22,-5.0,▼
27,2020-01-27,47.5,15,7.5,▲
28,2020-01-28,42.5,11,-5.0,▼
29,2020-01-29,45.0,13,2.5,▲
30,2020-01-30,41.5,14,-3.5,▼
31,2020-01-31,45.5,13,4.0,▲
32,2020-02-01,42.5,34,-3.0,▼
33,2020-02-02,38.5,9,-4.0,▼
34,2020-02-03,37.5,9,-1.0,▼
35,2020-02-04,39.0,8,1.5,▲
36,2020-02-05,40.5,23,1.5,▲
37,2020-02-06,42.5,24,2.0,▲
38,2020-02-07,40.0,34,-2.5,▼
39,2020-02-08,40.0,32,0.0,-
40,2020-02-09,42.5,33,2.5,▲
41,2020-02-10,42.0,18,-0.5,▼
42,2020-02-11,44.0,19,2.0,▲
43,2020-02-12,44.5,19,0.5,▲
44,2020-02-13,41.5,7,-3.0,▼
45,2020-02-14,82.5,114,41.0,▲
46,2020-02-15,87.5,128,5.0,▲
47,2020-02-16,88.5,59,1.0,▲
48,2020-02-17,85.0,29,-3.5,▼
49,2020-02-18,83.5,24,-1.5,▼
50,2020-02-19,79.0,18,-4.5,▼
51,2020-02-20,80.0,22,1.0,▲
52,2020-02-21,79.5,21,-0.5,▼
53,2020-02-22,77.5,28,-2.0,▼
54,2020-02-23,75.0,25,-2.5,▼
55,2020-02-24,72.5,15,-2.5,▼
56,2020-02-25,79.5,6,7.0,▲
57,2020-02-26,77.5,10,-2.0,▼
58,2020-02-27,77.5,12,0.0,-
59,2020-02-28,72.5,24,-5.0,▼
60,2020-02-29,74.5,11,2.0,▲
61,2020-03-01,65.5,21,-9.0,▼
62,2020-03-02,77.5,14,12.0,▲
63,2020-03-03,75.0,12,-2.5,▼
64,2020-03-04,77.0,20,2.0,▲
65,2020-03-05,79.0,8,2.0,▲
66,2020-03-06,73.5,15,-5.5,▼
67,2020-03-07,70.0,30,-3.5,▼
68,2020-03-08,72.5,21,2.5,▲
69,2020-03-09,72.5,19,0.0,-
70,2020-03-10,75.0,22,2.5,▲
71,2020-03-11,74.5,12,-0.5,▼
72,2020-03-12,77.0,17,2.5,▲
73,2020-03-13,77.5,19,0.5,▲
74,2020-03-14,72.5,24,-5.0,▼
75,2020-03-15,72.5,14,0.0,-
76,2020-03-16,72.5,16,0.0,-
77,2020-03-17,72.5,13,0.0,-
78,2020-03-18,70.0,16,-2.5,▼
79,2020-03-19,70.0,16,0.0,-
80,2020-03-20,68.5,15,-1.5,▼
81,2020-03-21,68.0,15,-0.5,▼
82,2020-03-22,65.0,13,-3.0,▼
83,2020-03-23,70.0,22,5.0,▲
84,2020-03-24,71.5,14,1.5,▲
85,2020-03-25,69.0,19,-2.5,▼
86,2020-03-26,73.0,18,4.0,▲
87,2020-03-27,72.5,17,-0.5,▼
88,2020-03-28,72.0,25,-0.5,▼
89,2020-03-29,75.0,20,3.0,▲
90,2020-03-30,75.0,17,0.0,-
91,2020-03-31,74.5,14,-0.5,▼
92,2020-04-01,76.0,25,1.5,▲
93,2020-04-02,72.5,13,-3.5,▼
94,2020-04-03,72.5,18,0.0,-
