,datetime,avg_price
0,2019-12-24,71.5
1,2019-12-25,68.5
2,2019-12-26,69.5
3,2019-12-27,70.0
4,2019-12-28,75.0
5,2019-12-29,67.5
6,2019-12-30,67.0
7,2019-12-31,70.0
8,2020-01-01,68.0
9,2020-01-02,70.0
10,2020-01-03,65.0
11,2020-01-04,70.0
12,2020-01-05,69.5
13,2020-01-06,70.0
14,2020-01-07,70.0
15,2020-01-08,70.0
16,2020-01-09,69.5
17,2020-01-10,70.5
18,2020-01-11,67.5
19,2020-01-12,66.0
20,2020-01-13,67.5
21,2020-01-14,67.5
22,2020-01-15,70.0
23,2020-01-16,70.0
24,2020-01-17,60.0
25,2020-01-18,65.0
26,2020-01-19,69.5
27,2020-01-20,68.5
28,2020-01-21,65.0
29,2020-01-22,63.5
30,2020-01-23,66.0
31,2020-01-24,69.5
32,2020-01-25,63.5
33,2020-01-26,67.5
34,2020-01-27,62.5
35,2020-01-28,60.0
36,2020-01-29,60.0
37,2020-01-30,60.0
38,2020-01-31,58.5
39,2020-02-01,60.0
40,2020-02-02,59.5
41,2020-02-03,57.0
42,2020-02-04,60.0
43,2020-02-05,65.0
44,2020-02-06,65.5
45,2020-02-07,67.5
46,2020-02-08,63.5
47,2020-02-09,69.0
48,2020-02-10,69.0
49,2020-02-11,71.0
50,2020-02-12,72.5
51,2020-02-13,70.0
52,2020-02-14,69.5
53,2020-02-15,66.0
54,2020-02-16,67.0
55,2020-02-17,72.5
56,2020-02-18,72.0
57,2020-02-19,74.5
58,2020-02-20,74.5
59,2020-02-21,75.0
60,2020-02-22,68.5
61,2020-02-23,70.0
62,2020-02-24,69.0
63,2020-02-25,70.0
64,2020-02-26,75.0
65,2020-02-27,68.0
66,2020-02-28,70.0
67,2020-02-29,70.0
68,2020-03-01,68.0
69,2020-03-02,72.5
70,2020-03-03,76.5
71,2020-03-04,77.5
72,2020-03-05,74.5
73,2020-03-06,70.0
74,2020-03-07,77.0
75,2020-03-08,73.0
76,2020-03-09,75.0
77,2020-03-10,77.5
78,2020-03-11,80.0
79,2020-03-12,86.5
80,2020-03-13,80.0
81,2020-03-14,78.0
82,2020-03-15,85.0
83,2020-03-16,87.0
84,2020-03-17,81.0
85,2020-03-18,84.0
86,2020-03-19,80.0
87,2020-03-20,86.5
88,2020-03-21,87.5
