,last_seen,user,status_data,platinum,order_type
83,2020-03-18,BornToQuill,ingame,100.0,sell
97,2020-03-18,.DF.Anubis.,ingame,100.0,sell
99,2020-03-18,Blade_singer,online,100.0,sell
378,2020-03-18,Canici,ingame,100.0,sell
202,2020-03-18,purpurim,ingame,100.0,sell
150,2020-03-18,Defos.74rus,ingame,100.0,sell
38,2020-03-18,FelisMajor,ingame,110.0,sell
339,2020-03-18,Papstschlumpf,ingame,120.0,sell
222,2020-03-18,kakuruya,ingame,120.0,sell
82,2020-03-18,FrostyDemise,ingame,120.0,sell
44,2020-03-18,Krehlmar,ingame,124.0,sell
445,2020-03-18,JHips,ingame,125.0,sell
29,2020-03-18,Trialscales,ingame,130.0,sell
277,2020-03-18,Lionheart555,ingame,150.0,sell
120,2020-03-18,ShadowOfWar2,ingame,200.0,sell
