,last_seen,user,status_data,platinum,order_type
24,2020-03-18,vancyfox,ingame,150.0,sell
34,2020-03-18,Tali2482,online,100.0,sell
46,2020-03-18,lazynikolas,online,120.0,sell
53,2020-03-18,Sekhemus,ingame,150.0,sell
72,2020-03-18,pr0.man,online,200.0,sell
78,2020-03-18,Mieze208,ingame,100.0,sell
79,2020-03-18,eneki123,ingame,99.0,sell
85,2020-03-18,heevil,ingame,200.0,sell
86,2020-03-18,MightyMaMa,ingame,200.0,sell
92,2020-03-18,Mazver,ingame,199.0,sell
100,2020-03-18,ReciproBurst,online,100.0,sell
101,2020-03-18,Beaujolai,ingame,100.0,sell
121,2020-03-18,BornToQuill,online,100.0,sell
124,2020-03-18,Bog-Morfey,ingame,100.0,sell
127,2020-03-18,fgiveme,ingame,200.0,sell
131,2020-03-18,PSvsXBOX,ingame,150.0,sell
150,2020-03-18,--END--GABU,ingame,140.0,sell
153,2020-03-18,Gucci..,ingame,250.0,sell
165,2020-03-18,-DS-Kathleen-,ingame,90.0,sell
171,2020-03-18,SombraDeLuna,ingame,149.0,sell
181,2020-03-18,MMA963,ingame,90.0,sell
199,2020-03-18,-STR-kocalparslan97,ingame,150.0,sell
205,2020-03-18,.thoughts,ingame,150.0,sell
208,2020-03-18,spryt13,ingame,90.0,sell
216,2020-03-18,UnderState_,ingame,100.0,sell
217,2020-03-18,Hystoriic,ingame,250.0,sell
224,2020-03-18,Ethaw,ingame,95.0,sell
237,2020-03-18,OscarClaine,ingame,120.0,sell
241,2020-03-18,--Q--Xorent,ingame,120.0,sell
246,2020-03-18,-STR-kocalparslan97,ingame,110.0,sell
252,2020-03-18,d3stroy3r81,ingame,100.0,sell
254,2020-03-18,Renataus,ingame,150.0,sell
257,2020-03-18,DevilDriverSS,ingame,100.0,sell
293,2020-03-18,WearMeLikeABackpack,ingame,90.0,sell
306,2020-03-18,WinterMach,online,100.0,sell
319,2020-03-18,--G--Atlante002,ingame,99.0,sell
332,2020-03-18,AminusTek,ingame,100.0,sell
347,2020-03-18,bucblizzard,ingame,99.0,sell
386,2020-03-18,Trickshot692,ingame,95.0,sell
388,2020-03-18,FrostyDemise,ingame,170.0,sell
404,2020-03-18,YAM4,ingame,100.0,sell
431,2020-03-18,-VM-Shark,ingame,130.0,sell
438,2020-03-18,-VV-JusticerPK,ingame,100.0,sell
444,2020-03-18,-Zenetix-,ingame,100.0,sell
458,2020-03-18,r00tsyst3m,ingame,120.0,sell
459,2020-03-18,Mandion,ingame,88.0,sell
463,2020-03-18,Toy_Wo,ingame,135.0,sell
513,2020-03-18,Solshar,ingame,98.0,sell
526,2020-03-18,veselyi_strateg,ingame,89.0,sell
527,2020-03-18,ZeaGate,ingame,95.0,sell
536,2020-03-18,Filter6,ingame,94.0,sell
546,2020-03-18,TheNordicEve,ingame,95.0,sell
568,2020-03-18,KINGShuuLi,ingame,95.0,sell
606,2020-03-18,Yiojimbo,online,200.0,sell
607,2020-03-18,GramCM,ingame,100.0,sell
608,2020-03-18,Edwsnoww,ingame,95.0,sell
611,2020-03-18,Zuijab,ingame,95.0,sell
613,2020-03-18,otoufutime,ingame,90.0,sell
