,last_seen,user,status_data,platinum,order_type
576,2020-03-18,Yiojimbo,online,120.0,sell
580,2020-03-18,x_LuZoG_x,ingame,148.0,sell
225,2020-03-18,Yeon-Rak,ingame,150.0,sell
193,2020-03-18,ShadowXYX,ingame,150.0,sell
237,2020-03-18,------XAM------,ingame,150.0,sell
460,2020-03-18,-3EBC-,ingame,159.0,sell
379,2020-03-18,sawabura,ingame,159.0,sell
202,2020-03-18,leigaazi,ingame,160.0,sell
340,2020-03-18,Nimmpwqnmlgb,ingame,160.0,sell
147,2020-03-18,L3PandaR0ux,ingame,160.0,sell
581,2020-03-18,ID_Reve,ingame,160.0,sell
259,2020-03-18,Hatware,ingame,160.0,sell
508,2020-03-18,CrimsonStalker12,ingame,160.0,sell
11,2020-03-18,RoTeeN,ingame,160.0,sell
357,2020-03-18,-L-A-CrazyKampf,ingame,167.0,sell
