,last_seen,user,status_data,platinum,order_type
681,2020-03-07,SirPoison,ingame,100.0,sell
354,2020-03-07,marfi86,ingame,100.0,sell
379,2020-03-07,OldFish_EVO,ingame,100.0,sell
645,2020-03-07,IyJyRyC,ingame,100.0,sell
670,2020-03-07,Kylar101,ingame,100.0,sell
284,2020-03-07,-VLG-34rus-,ingame,100.0,sell
36,2020-03-07,Sidar,ingame,100.0,sell
676,2020-03-07,Xx--Reaper--xX,ingame,100.0,sell
290,2020-03-07,podbacx,ingame,101.0,sell
678,2020-03-07,Lakyus,ingame,109.0,sell
374,2020-03-07,kanoOm,ingame,109.0,sell
580,2020-03-07,Uncommon_Name,ingame,109.0,sell
529,2020-03-07,jjj8465,ingame,110.0,sell
314,2020-03-07,michael_jpn,ingame,110.0,sell
170,2020-03-07,Syer3,ingame,119.0,sell
462,2020-03-07,Feruwen,ingame,115.0,sell
314,2020-03-07,Sahansral,ingame,115.0,sell
259,2020-03-07,Mad_Hawk,ingame,120.0,sell
50,2020-03-06,Schaphat,ingame,100.0,sell
523,2020-03-07,Slagathor85,ingame,100.0,sell
452,2020-03-07,09DuckSlayer09,ingame,109.0,sell
505,2020-03-05,Pntex,offline,100.0,sell
271,2020-03-06,Enderowy,offline,100.0,sell
501,2020-03-06,Whitelamina,offline,100.0,sell
137,2020-03-06,szkatulas,offline,100.0,sell
266,2020-03-07,SupremeEvilDeathLord,offline,100.0,sell
490,2020-03-06,LunyashaSan,offline,100.0,sell
146,2020-03-06,Banana_Terracotta_Pie,offline,100.0,sell
373,2020-03-06,DestinySaga,offline,100.0,sell
465,2020-03-07,Chaveesz,offline,100.0,sell
317,2020-03-06,JayofWarframe,offline,100.0,sell
456,2020-03-06,Dark.Joko,offline,100.0,sell
455,2020-03-06,YoungBao,offline,100.0,sell
167,2020-03-07,Xodus0418,offline,100.0,sell
447,2020-03-06,-STR-Asmodiel,offline,100.0,sell
479,2020-03-06,bennaye,offline,100.0,sell
445,2020-03-07,DarkouTBr,offline,100.0,sell
433,2020-03-06,Guppy9768,offline,100.0,sell
516,2020-03-06,RoughgamerSB,offline,100.0,sell
185,2020-03-06,MartiniPrime,offline,100.0,sell
190,2020-03-06,Proffebolter,offline,100.0,sell
520,2020-03-07,Calling1991,offline,100.0,sell
415,2020-03-07,SWAGGER1,offline,100.0,sell
513,2020-03-07,LeopardShroom,offline,100.0,sell
203,2020-03-06,Kanestorm,offline,100.0,sell
213,2020-03-07,Awesome-J,offline,100.0,sell
214,2020-03-07,Luis195,offline,100.0,sell
376,2020-03-07,MinecraftGangsta,offline,100.0,sell
337,2020-03-06,--Q--Cumber,offline,100.0,sell
385,2020-03-07,Trianguljar,offline,100.0,sell
571,2020-03-07,MadLif3,ingame,100.0,sell
565,2020-03-06,TaliyahWy,offline,100.0,sell
240,2020-03-07,Ynellqt,offline,100.0,sell
340,2020-03-06,whiteapple7,offline,100.0,sell
564,2020-03-06,BrotmitGurke,offline,100.0,sell
556,2020-03-06,DUN_DUNNA,offline,100.0,sell
295,2020-03-06,Tarnschaf,offline,100.0,sell
453,2020-03-07,MangalYT,offline,100.0,sell
435,2020-03-07,shmulke75,offline,100.0,sell
429,2020-03-07,legaliize420,offline,100.0,sell
428,2020-03-07,helloitskiello,offline,100.0,sell
413,2020-03-07,grathor,offline,100.0,sell
403,2020-03-07,Karesz6,offline,100.0,sell
397,2020-03-07,andyfrost013,offline,100.0,sell
515,2020-03-06,darkslave666,offline,100.0,sell
172,2020-03-08,ThayllettBrB.47,offline,100.0,sell
675,2020-03-08,MoonWalk,ingame,100.0,sell
185,2020-03-08,Jujiee,ingame,100.0,sell
379,2020-03-08,Pandaahh,ingame,100.0,sell
671,2020-03-08,BestWay,ingame,100.0,sell
536,2020-03-08,JHips,ingame,109.0,sell
643,2020-03-07,spelworm,ingame,110.0,sell
73,2020-03-08,NightEye007,ingame,110.0,sell
532,2020-03-08,IsilethFaren,ingame,110.0,sell
673,2020-03-08,strenfer,ingame,110.0,sell
676,2020-03-08,zhigexlw,ingame,100.0,sell
645,2020-03-08,Striker_BY,ingame,100.0,sell
181,2020-03-08,S.Pursuer,ingame,105.0,sell
427,2020-03-08,Mr.zhang616,ingame,110.0,sell
444,2020-03-04,WatcheRim,ingame,110.0,sell
521,2020-03-08,wx-4444,ingame,110.0,sell
632,2020-03-08,FuGLYm4k3R,ingame,100.0,sell
670,2020-03-08,Krobulen,ingame,100.0,sell
628,2020-03-08,puqpuq,online,100.0,sell
584,2020-03-08,SuperDestroy,ingame,100.0,sell
225,2020-03-08,vordik,ingame,100.0,sell
664,2020-03-08,DelWish,ingame,100.0,sell
662,2020-03-08,TwoKnives,ingame,105.0,sell
334,2020-03-08,-VV-jacZero,online,110.0,sell
384,2020-03-08,Arkmeta,ingame,110.0,sell
656,2020-03-08,HolyAoK,ingame,110.0,sell
670,2020-03-08,Serinn.MkII,ingame,100.0,sell
564,2020-03-08,AmanS1,ingame,110.0,sell
644,2020-03-09,raymond_ckw,ingame,100.0,sell
66,2020-03-09,Gambitcs81,ingame,100.0,sell
590,2020-03-09,8TYRAEL8,ingame,100.0,sell
575,2020-03-09,PrimeAgent,ingame,109.0,sell
2,2020-03-09,-Zellion-,ingame,110.0,sell
671,2020-03-09,eminem49,online,110.0,sell
499,2020-03-09,AntiMatterCat,ingame,115.0,sell
