,last_seen,user,status_data,platinum,order_type
255,2020-03-07,-VLG-34rus-,ingame,110.0,sell
450,2020-03-07,lacjo_shei,ingame,130.0,sell
359,2020-03-07,Alexsis911,ingame,130.0,sell
485,2020-03-07,AmbitrioN777,ingame,140.0,sell
224,2020-03-07,MAX.Natur,ingame,140.0,sell
303,2020-03-07,Al_pal,ingame,140.0,sell
186,2020-03-07,-BM-SniperKitten,ingame,150.0,sell
226,2020-03-07,Zilacon,ingame,150.0,sell
466,2020-03-07,MichelTielNL,ingame,160.0,sell
284,2020-03-07,HLixir,ingame,165.0,sell
89,2020-03-07,IN_THE_NAME_OF_THE_SUN,ingame,198.0,sell
94,2020-03-07,MightyMaMa,ingame,200.0,sell
114,2020-03-07,shinomay,ingame,200.0,sell
119,2020-03-07,Sekhemus,ingame,250.0,sell
138,2020-03-07,Lucky-Three-Tritium,ingame,260.0,sell
472,2020-03-07,NemorizDevil,ingame,105.0,sell
245,2020-03-07,Yaegmur,ingame,160.0,sell
391,2020-03-07,IDieseLI,ingame,119.0,sell
473,2020-03-07,ZequnChu,ingame,130.0,sell
382,2020-03-07,Sati-Critatis,ingame,130.0,sell
445,2020-03-07,zima12051990,ingame,130.0,sell
282,2020-03-07,nms.,ingame,139.0,sell
137,2020-03-07,fryhtan6,ingame,145.0,sell
350,2020-03-06,Iceshuter,offline,105.0,sell
16,2020-03-06,Aldon_Nebula,offline,105.0,sell
218,2020-03-07,Senguash,ingame,110.0,sell
309,2020-03-06,SSSerGGG,offline,110.0,sell
251,2020-03-07,OctopusLeRoy,offline,110.0,sell
69,2020-03-07,Judge1887,offline,110.0,sell
232,2020-03-07,Raskolnikov13,offline,110.0,sell
237,2020-03-07,Krazenor,offline,100.0,sell
174,2020-03-07,Otowaxol,offline,110.0,sell
461,2020-03-07,-SylviaLyyneheym.MAFU,offline,110.0,sell
459,2020-03-08,Daimyo-Hanzo,ingame,119.0,sell
414,2020-03-07,Bewitch.7un,ingame,120.0,sell
191,2020-03-08,eneki123,ingame,129.0,sell
252,2020-03-08,LastTigeR,ingame,130.0,sell
128,2020-03-08,Night_Witch_Lis,ingame,130.0,sell
236,2020-03-07,Nitrofor,ingame,140.0,sell
158,2020-03-08,Gluckogon,ingame,140.0,sell
25,2020-03-08,I_NightStAr_I,ingame,140.0,sell
315,2020-03-07,Yahzee,ingame,150.0,sell
474,2020-03-08,zhigexlw,ingame,125.0,sell
156,2020-03-08,S.Pursuer,ingame,125.0,sell
463,2020-03-08,BooYaahh,ingame,140.0,sell
79,2020-03-08,WillsShadow,online,145.0,sell
210,2020-03-08,SiiiBOOM,ingame,150.0,sell
