,last_seen,user,status_data,platinum,order_type
763,2020-03-18,Destiny.YG,ingame,100.0,sell
514,2020-03-18,Yiojimbo,online,100.0,sell
489,2020-03-18,cure2,ingame,100.0,sell
762,2020-03-18,ThinkaGod,ingame,100.0,sell
660,2020-03-18,YeXiaoLuoYou,ingame,100.0,sell
698,2020-03-18,DayDay--UP,ingame,100.0,sell
302,2020-03-18,Pirania123456789,ingame,100.0,sell
536,2020-03-18,Elozium,ingame,100.0,sell
710,2020-03-18,Mompis,ingame,100.0,sell
719,2020-03-18,7Comandante7,ingame,100.0,sell
697,2020-03-18,saltyfishking618,ingame,100.0,sell
721,2020-03-18,Gellu125,ingame,100.0,sell
548,2020-03-18,We-are-the-champions,ingame,100.0,sell
561,2020-03-18,BeRoot,ingame,100.0,sell
601,2020-03-18,DuperDoge,ingame,100.0,sell
