,last_seen,user,status_data,platinum,order_type
248,2020-03-07,CynicalCam,ingame,100.0,sell
595,2020-03-07,Xx--Reaper--xX,ingame,100.0,sell
528,2020-03-07,Photoshop2077,ingame,100.0,sell
514,2020-03-07,YAM4,ingame,100.0,sell
490,2020-03-07,Spiderbot,ingame,100.0,sell
432,2020-03-07,CyberFrey,ingame,100.0,sell
290,2020-03-07,Daimyo-Hanzo,ingame,100.0,sell
242,2020-03-07,VictorD3R,ingame,100.0,sell
216,2020-03-07,Khaeji,ingame,100.0,sell
645,2020-03-07,Superbia__,ingame,100.0,sell
63,2020-03-06,Auphorion,ingame,100.0,sell
69,2020-03-07,EidolonLure,ingame,100.0,sell
362,2020-03-07,FocusEDGE,ingame,110.0,sell
614,2020-03-07,MichelTielNL,ingame,110.0,sell
96,2020-03-07,Bog-Morfey,ingame,110.0,sell
483,2020-03-07,yixinanguiX,ingame,100.0,sell
378,2020-03-07,Sagrado,ingame,100.0,sell
341,2020-03-07,podbacx,ingame,110.0,sell
334,2020-03-07,-Pixxy,ingame,120.0,sell
320,2020-03-07,Paddy-Killer,ingame,100.0,sell
536,2020-03-07,09DuckSlayer09,ingame,100.0,sell
366,2020-03-07,ThorienKELL,ingame,109.0,sell
