,last_seen,user,status_data,platinum,order_type
413,2020-03-07,StoneRoxXx,ingame,100.0,sell
434,2020-03-07,jjj8465,ingame,100.0,sell
472,2020-03-07,Sanek-rus-96,ingame,100.0,sell
86,2020-03-07,Tysonator,ingame,100.0,sell
92,2020-03-07,Alexsis911,ingame,100.0,sell
527,2020-03-07,Xx--Reaper--xX,ingame,100.0,sell
300,2020-03-07,Arctic.Bear,ingame,100.0,sell
409,2020-03-07,YAM4,ingame,100.0,sell
152,2020-03-07,Khaeji,ingame,110.0,sell
588,2020-03-07,___Slmple-Love-Girl___,ingame,118.0,sell
294,2020-03-07,SasoDuck,ingame,120.0,sell
25,2020-03-07,Nakatanai,ingame,120.0,sell
188,2020-03-07,Zilacon,ingame,120.0,sell
133,2020-03-07,_Serge_,ingame,120.0,sell
47,2020-03-07,HLixir,ingame,125.0,sell
355,2020-03-07,Donesas,ingame,100.0,sell
198,2020-03-07,-Pixxy,ingame,120.0,sell
55,2020-03-07,WalkerInTheVoid,ingame,120.0,sell
207,2020-03-07,podbacx,ingame,130.0,sell
38,2020-03-07,Schaphat,ingame,107.0,sell
187,2020-03-07,Icy_Nine,ingame,120.0,sell
