,last_seen,user,status_data,platinum,order_type
914,2020-03-18,-TokyoGhoul-,ingame,155.0,sell
732,2020-03-18,xlixAxilx,ingame,155.0,sell
580,2020-03-18,OBIVAN89,ingame,158.0,sell
264,2020-03-18,Chang0ng,ingame,160.0,sell
502,2020-03-18,-Leo-215.craman-,ingame,160.0,sell
407,2020-03-18,-THESTRONGISNOPAINNOGAIN,ingame,160.0,sell
422,2020-03-18,Goku00178,ingame,160.0,sell
725,2020-03-18,eminem49,online,160.0,sell
794,2020-03-18,Haang-Haang,ingame,160.0,sell
457,2020-03-18,Uzuch1aPr1m3,ingame,165.0,sell
65,2020-03-18,L3PandaR0ux,ingame,165.0,sell
434,2020-03-18,Marsson11,ingame,165.0,sell
484,2020-03-18,Idese,ingame,168.0,sell
741,2020-03-18,_dreal,ingame,168.0,sell
313,2020-03-18,Tyler-Durden-,ingame,169.0,sell
