,last_seen,user,status_data,platinum,order_type
536,2020-03-18,Navraseph,ingame,11111.0,sell
150,2020-03-18,MasteryDog,ingame,198.0,sell
480,2020-03-18,pupsrip,ingame,198.0,sell
274,2020-03-18,VEZ1Rtr,online,200.0,sell
331,2020-03-18,Sig.Watda,ingame,200.0,sell
213,2020-03-18,Yeon-Rak,ingame,200.0,sell
358,2020-03-18,Idese,ingame,200.0,sell
230,2020-03-18,Hatware,ingame,200.0,sell
231,2020-03-18,Imperlus,online,200.0,sell
302,2020-03-18,Papstschlumpf,ingame,200.0,sell
255,2020-03-18,--Prime01Jok3r--,ingame,200.0,sell
300,2020-03-18,-Leo-215.craman-,ingame,200.0,sell
506,2020-03-18,FASTYFASTYFASTY,ingame,200.0,sell
69,2020-03-18,DevilDriverSS,ingame,200.0,sell
535,2020-03-18,Chaso_evil,ingame,200.0,sell
