,last_seen,user,status_data,platinum,order_type
384,2020-03-07,Mattirl,ingame,100.0,sell
69,2020-03-07,NoobieCapitan,ingame,100.0,sell
286,2020-03-07,Edwing2429,ingame,100.0,sell
254,2020-03-07,XthFormHaseo,ingame,100.0,sell
147,2020-03-07,Xitori,ingame,100.0,sell
60,2020-03-07,LanceNoPants,ingame,111.0,sell
346,2020-03-07,kakuruya,ingame,120.0,sell
135,2020-03-07,Nakatanai,ingame,120.0,sell
85,2020-03-07,-BM-SniperKitten,ingame,125.0,sell
159,2020-03-07,FrostyDemise,ingame,160.0,sell
585,2020-03-07,Yu_Gu,ingame,60.0,sell
626,2020-03-07,D3IVY,ingame,66.0,sell
577,2020-03-07,ding91,ingame,68.0,sell
523,2020-03-07,102.1001.4,ingame,68.0,sell
563,2020-03-07,jaliux,ingame,69.0,sell
261,2020-03-07,Ztremex,ingame,100.0,sell
353,2020-03-07,-Pixxy,ingame,100.0,sell
600,2020-03-07,Cryptonitor,ingame,150.0,sell
604,2020-03-07,Needlemouse.,ingame,50.0,sell
295,2020-03-07,CYRAX30,ingame,60.0,sell
605,2020-03-07,bZHALL,ingame,65.0,sell
202,2020-03-07,MrCastio,ingame,65.0,sell
125,2020-03-07,yf849472061,ingame,69.0,sell
231,2020-03-07,SorrowT-T,offline,100.0,sell
35,2020-03-07,Korthous,offline,100.0,sell
180,2020-03-07,Zlauker,offline,100.0,sell
341,2020-03-07,Nagatoale,offline,100.0,sell
412,2020-03-06,fury56,offline,100.0,sell
60,2020-03-07,killer23999,offline,100.0,sell
30,2020-03-07,ChocoFrag,offline,100.0,sell
261,2020-03-07,AsunalbyPrime,offline,100.0,sell
237,2020-03-07,IIaBuaH,offline,100.0,sell
119,2020-03-06,BenedekValter,offline,100.0,sell
461,2020-03-07,Blade_singer,offline,100.0,sell
209,2020-03-08,Defos.74rus,offline,100.0,sell
135,2020-03-07,LuckyGuyyyy,offline,100.0,sell
248,2020-03-07,SWAGGER1,offline,100.0,sell
419,2020-03-07,MR1JHIN,ingame,120.0,sell
7,2020-03-08,Helen408,ingame,130.0,sell
118,2020-03-08,balkon_OFFEN_,ingame,150.0,sell
166,2020-03-08,wingswrath,ingame,70.0,sell
169,2020-03-08,Daimyo-Hanzo,ingame,70.0,sell
561,2020-03-08,ExiazPrime,ingame,75.0,sell
221,2020-03-08,UFO_zj,ingame,79.0,sell
598,2020-03-08,NeCeSiTy,ingame,79.0,sell
88,2020-03-08,Marvadinho,ingame,80.0,sell
234,2020-03-08,porlorence,ingame,80.0,sell
272,2020-03-08,MUTYAK,online,150.0,sell
116,2020-03-08,Chang0ng,ingame,500.0,sell
603,2020-03-08,IUmbr4I,ingame,65.0,sell
602,2020-03-08,Elishaboom,ingame,68.0,sell
23,2020-03-08,Sheldon777,ingame,100.0,sell
136,2020-03-08,Mrugz,ingame,100.0,sell
54,2020-03-08,OscarClaine,ingame,100.0,sell
46,2020-03-08,BornToQuill,online,120.0,sell
56,2020-03-08,NumberOneXTH,ingame,120.0,sell
34,2020-03-08,PeZorD,ingame,150.0,sell
188,2020-03-08,-SW-Fobos,ingame,150.0,sell
