,datetime,avg_price
0,2019-12-24,30.0
1,2019-12-25,29.5
2,2019-12-26,30.0
3,2019-12-27,32.0
4,2019-12-28,32.5
5,2019-12-29,31.5
6,2019-12-30,30.5
7,2019-12-31,34.0
8,2020-01-01,34.0
9,2020-01-02,32.5
10,2020-01-03,30.0
11,2020-01-04,35.0
12,2020-01-05,33.0
13,2020-01-06,32.5
14,2020-01-07,37.5
15,2020-01-08,36.5
16,2020-01-09,36.0
17,2020-01-10,39.0
18,2020-01-11,35.0
19,2020-01-12,35.5
20,2020-01-13,39.5
21,2020-01-14,39.0
22,2020-01-15,39.5
23,2020-01-16,38.5
24,2020-01-17,39.5
25,2020-01-18,39.0
26,2020-01-19,38.0
27,2020-01-20,39.5
28,2020-01-21,67.5
29,2020-01-22,38.5
30,2020-01-23,39.5
31,2020-01-24,40.0
32,2020-01-25,39.5
33,2020-01-26,39.0
34,2020-01-27,40.0
35,2020-01-28,40.0
36,2020-01-29,40.0
37,2020-01-30,40.0
38,2020-01-31,42.5
39,2020-02-01,40.0
40,2020-02-02,39.5
41,2020-02-03,42.5
42,2020-02-04,42.0
43,2020-02-05,40.0
44,2020-02-06,38.5
45,2020-02-07,42.0
46,2020-02-08,44.5
47,2020-02-09,42.5
48,2020-02-10,42.5
49,2020-02-11,42.5
50,2020-02-12,44.0
51,2020-02-13,42.5
52,2020-02-14,44.5
53,2020-02-15,45.0
54,2020-02-16,47.0
55,2020-02-17,47.5
56,2020-02-18,45.0
57,2020-02-19,49.5
58,2020-02-20,45.0
59,2020-02-21,47.5
60,2020-02-22,50.0
61,2020-02-23,50.0
62,2020-02-24,50.0
63,2020-02-25,47.5
64,2020-02-26,52.0
65,2020-02-27,50.0
66,2020-02-28,48.5
67,2020-02-29,50.0
68,2020-03-01,48.0
69,2020-03-02,47.5
70,2020-03-03,52.0
71,2020-03-04,55.0
72,2020-03-05,50.0
73,2020-03-06,50.0
74,2020-03-07,50.0
75,2020-03-08,50.0
76,2020-03-09,49.0
77,2020-03-10,49.0
78,2020-03-11,50.0
79,2020-03-12,54.5
80,2020-03-13,50.0
81,2020-03-14,50.0
82,2020-03-15,49.0
83,2020-03-16,51.0
84,2020-03-17,49.0
85,2020-03-18,48.5
86,2020-03-19,47.5
87,2020-03-20,49.5
88,2020-03-21,50.0
